TimePeriod,Personal consumption expenditures (PCE)
2020M01,104.419
2020M02,104.541
2020M03,104.252
2020M04,103.817
2020M05,103.914
2020M06,104.233
2020M07,104.564
2020M08,104.887
2020M09,105.046
2020M10,105.106
2020M11,105.225
2020M12,105.69
2021M01,106.083
2021M02,106.471
2021M03,107.032
2021M04,107.632
2021M05,108.184
2021M06,108.748
2021M07,109.275
2021M08,109.72
2021M09,110.047
2021M10,110.741
2021M11,111.51
2021M12,112.221
2022M01,112.776
2022M02,113.489
2022M03,114.489
2022M04,114.845
2022M05,115.542
2022M06,116.631
2022M07,116.662
2022M08,117.002
2022M09,117.377
2022M10,117.891
2022M11,118.221
2022M12,118.403
2023M01,119.007
2023M02,119.401
2023M03,119.553
2023M04,119.97
2023M05,120.14
2023M06,120.435
2023M07,120.598
2023M08,120.965
2023M09,121.387
2023M10,121.421
2023M11,121.415
2023M12,121.602
2024M01,122.115
2024M02,122.494
2024M03,122.912
2024M04,123.234
2024M05,123.224
2024M06,123.369
2024M07,123.575
2024M08,123.727
2024M09,123.939
2024M10,124.265
2024M11,124.399
2024M12,124.769
2025M01,125.239
2025M02,125.772
2025M03,125.791
2025M04,125.939
2025M05,126.11
