,year,period,value
0,2025,M07,36.44
1,2025,M06,36.32
2,2025,M05,36.23
3,2025,M04,36.08
4,2025,M03,36.02
5,2025,M02,35.90
6,2025,M01,35.83
7,2024,M12,35.68
8,2024,M11,35.61
9,2024,M10,35.48
10,2024,M09,35.33
11,2024,M08,35.23
12,2024,M07,35.07
13,2024,M06,35.00
14,2024,M05,34.89
15,2024,M04,34.75
16,2024,M03,34.67
17,2024,M02,34.54
18,2024,M01,34.47
19,2023,M12,34.31
20,2023,M11,34.19
21,2023,M10,34.07
22,2023,M09,33.99
23,2023,M08,33.89
24,2023,M07,33.84
25,2023,M06,33.69
26,2023,M05,33.52
27,2023,M04,33.42
28,2023,M03,33.28
29,2023,M02,33.16
30,2023,M01,33.05
31,2022,M12,32.96
32,2022,M11,32.84
33,2022,M10,32.70
34,2022,M09,32.55
35,2022,M08,32.44
36,2022,M07,32.35
37,2022,M06,32.20
38,2022,M05,32.10
39,2022,M04,31.96
40,2022,M03,31.82
41,2022,M02,31.66
42,2022,M01,31.62
43,2021,M12,31.41
44,2021,M11,31.25
45,2021,M10,31.15
46,2021,M09,30.96
47,2021,M08,30.79
48,2021,M07,30.66
49,2021,M06,30.55
50,2021,M05,30.41
51,2021,M04,30.23
52,2021,M03,30.04
53,2021,M02,30.07
54,2021,M01,29.92
55,2020,M12,29.91
56,2020,M11,29.64
57,2020,M10,29.55
58,2020,M09,29.51
59,2020,M08,29.50
60,2020,M07,29.39
61,2020,M06,29.38
62,2020,M05,29.72
63,2020,M04,30.04
64,2020,M03,28.74
65,2020,M02,28.54
66,2020,M01,28.43
