,date,value
0,2020-01-01,.
1,2020-01-02,5.28
2,2020-01-03,5.25
3,2020-01-06,5.23
4,2020-01-07,5.21
5,2020-01-08,5.22
6,2020-01-09,5.19
7,2020-01-10,5.17
8,2020-01-13,5.17
9,2020-01-14,5.12
10,2020-01-15,5.08
11,2020-01-16,5.08
12,2020-01-17,5.06
13,2020-01-20,5.06
14,2020-01-21,5.09
15,2020-01-22,5.11
16,2020-01-23,5.18
17,2020-01-24,5.23
18,2020-01-27,5.50
19,2020-01-28,5.37
20,2020-01-29,5.30
21,2020-01-30,5.38
22,2020-01-31,5.43
23,2020-02-03,5.38
24,2020-02-04,5.34
25,2020-02-05,5.27
26,2020-02-06,5.22
27,2020-02-07,5.21
28,2020-02-10,5.19
29,2020-02-11,5.12
30,2020-02-12,5.09
31,2020-02-13,5.07
32,2020-02-14,5.03
33,2020-02-17,5.03
34,2020-02-18,5.04
35,2020-02-19,5.02
36,2020-02-20,5.03
37,2020-02-21,5.02
38,2020-02-24,5.31
39,2020-02-25,5.40
40,2020-02-26,5.47
41,2020-02-27,5.79
42,2020-02-28,6.02
43,2020-02-29,6.07
44,2020-03-02,5.93
45,2020-03-03,5.72
46,2020-03-04,5.58
47,2020-03-05,5.82
48,2020-03-06,6.27
49,2020-03-09,7.17
50,2020-03-10,7.05
51,2020-03-11,7.34
52,2020-03-12,8.15
53,2020-03-13,8.10
54,2020-03-16,8.96
55,2020-03-17,9.17
56,2020-03-18,9.98
57,2020-03-19,10.62
58,2020-03-20,10.75
59,2020-03-23,11.38
60,2020-03-24,11.13
61,2020-03-25,10.69
62,2020-03-26,9.82
63,2020-03-27,9.46
64,2020-03-30,9.24
65,2020-03-31,9.20
66,2020-04-01,9.53
67,2020-04-02,9.60
68,2020-04-03,9.84
69,2020-04-06,9.74
70,2020-04-07,9.39
71,2020-04-08,9.33
72,2020-04-09,8.42
73,2020-04-10,.
74,2020-04-13,8.19
75,2020-04-14,7.83
76,2020-04-15,8.03
77,2020-04-16,7.98
78,2020-04-17,7.73
79,2020-04-20,7.92
80,2020-04-21,8.28
81,2020-04-22,8.26
82,2020-04-23,8.28
83,2020-04-24,8.43
84,2020-04-27,8.45
85,2020-04-28,8.42
86,2020-04-29,8.28
87,2020-04-30,8.04
88,2020-05-01,8.13
89,2020-05-04,8.20
90,2020-05-05,8.03
91,2020-05-06,8.04
92,2020-05-07,7.97
93,2020-05-08,7.92
94,2020-05-11,7.95
95,2020-05-12,7.82
96,2020-05-13,7.99
97,2020-05-14,8.13
98,2020-05-15,8.16
99,2020-05-18,7.85
100,2020-05-19,7.78
101,2020-05-20,7.56
102,2020-05-21,7.49
103,2020-05-22,7.46
104,2020-05-25,7.46
105,2020-05-26,7.17
106,2020-05-27,7.11
107,2020-05-28,7.02
108,2020-05-29,7.08
109,2020-05-31,6.92
110,2020-06-01,6.82
111,2020-06-02,6.58
112,2020-06-03,6.26
113,2020-06-04,6.32
114,2020-06-05,6.05
115,2020-06-08,6.04
116,2020-06-09,6.24
117,2020-06-10,6.34
118,2020-06-11,6.78
119,2020-06-12,6.69
120,2020-06-15,6.66
121,2020-06-16,6.22
122,2020-06-17,6.28
123,2020-06-18,6.42
124,2020-06-19,6.43
125,2020-06-22,6.44
126,2020-06-23,6.42
127,2020-06-24,6.62
128,2020-06-25,6.69
129,2020-06-26,6.78
130,2020-06-29,6.88
131,2020-06-30,6.81
132,2020-07-01,6.72
133,2020-07-02,6.56
134,2020-07-03,6.56
135,2020-07-06,6.43
136,2020-07-07,6.42
137,2020-07-08,6.44
138,2020-07-09,6.49
139,2020-07-10,6.51
140,2020-07-13,6.38
141,2020-07-14,6.39
142,2020-07-15,6.17
143,2020-07-16,6.11
144,2020-07-17,6.09
145,2020-07-20,5.90
146,2020-07-21,5.68
147,2020-07-22,5.62
148,2020-07-23,5.60
149,2020-07-24,5.63
150,2020-07-27,5.60
151,2020-07-28,5.60
152,2020-07-29,5.47
153,2020-07-30,5.44
154,2020-07-31,5.45
155,2020-08-03,5.39
156,2020-08-04,5.41
157,2020-08-05,5.34
158,2020-08-06,5.36
159,2020-08-07,5.37
160,2020-08-10,5.41
161,2020-08-11,5.41
162,2020-08-12,5.48
163,2020-08-13,5.57
164,2020-08-14,5.65
165,2020-08-17,5.66
166,2020-08-18,5.63
167,2020-08-19,5.61
168,2020-08-20,5.63
169,2020-08-21,5.60
170,2020-08-24,5.52
171,2020-08-25,5.43
172,2020-08-26,5.39
173,2020-08-27,5.37
174,2020-08-28,5.37
175,2020-08-31,5.38
176,2020-09-01,5.33
177,2020-09-02,5.28
178,2020-09-03,5.37
179,2020-09-04,5.53
180,2020-09-07,5.53
181,2020-09-08,5.62
182,2020-09-09,5.54
183,2020-09-10,5.52
184,2020-09-11,5.56
185,2020-09-14,5.53
186,2020-09-15,5.50
187,2020-09-16,5.44
188,2020-09-17,5.50
189,2020-09-18,5.53
190,2020-09-21,5.77
191,2020-09-22,5.79
192,2020-09-23,5.83
193,2020-09-24,5.99
194,2020-09-25,5.99
195,2020-09-28,5.86
196,2020-09-29,5.83
197,2020-09-30,5.77
198,2020-10-01,5.73
199,2020-10-02,5.76
200,2020-10-05,5.60
201,2020-10-06,5.48
202,2020-10-07,5.46
203,2020-10-08,5.39
204,2020-10-09,5.35
205,2020-10-12,5.34
206,2020-10-13,5.27
207,2020-10-14,5.28
208,2020-10-15,5.42
209,2020-10-16,5.35
210,2020-10-19,5.32
211,2020-10-20,5.34
212,2020-10-21,5.35
213,2020-10-22,5.34
214,2020-10-23,5.33
215,2020-10-26,5.46
216,2020-10-27,5.49
217,2020-10-28,5.72
218,2020-10-29,5.70
219,2020-10-30,5.72
220,2020-10-31,5.79
221,2020-11-02,5.72
222,2020-11-03,5.56
223,2020-11-04,5.21
224,2020-11-05,5.02
225,2020-11-06,5.13
226,2020-11-09,4.76
227,2020-11-10,4.93
228,2020-11-11,4.93
229,2020-11-12,5.11
230,2020-11-13,5.13
231,2020-11-16,5.01
232,2020-11-17,4.96
233,2020-11-18,4.91
234,2020-11-19,4.95
235,2020-11-20,4.95
236,2020-11-23,4.91
237,2020-11-24,4.79
238,2020-11-25,4.81
239,2020-11-26,4.81
240,2020-11-27,4.81
241,2020-11-30,4.79
242,2020-12-01,4.74
243,2020-12-02,4.70
244,2020-12-03,4.61
245,2020-12-04,4.56
246,2020-12-07,4.53
247,2020-12-08,4.52
248,2020-12-09,4.56
249,2020-12-10,4.57
250,2020-12-11,4.60
251,2020-12-14,4.54
252,2020-12-15,4.54
253,2020-12-16,4.54
254,2020-12-17,4.54
255,2020-12-18,4.53
256,2020-12-21,4.67
257,2020-12-22,4.60
258,2020-12-23,4.56
259,2020-12-24,4.54
260,2020-12-25,.
261,2020-12-28,4.37
262,2020-12-29,4.33
263,2020-12-30,4.34
264,2020-12-31,4.34
265,2021-01-01,.
266,2021-01-04,4.40
267,2021-01-05,4.41
268,2021-01-06,4.36
269,2021-01-07,4.36
270,2021-01-08,4.35
271,2021-01-11,4.43
272,2021-01-12,4.47
273,2021-01-13,4.41
274,2021-01-14,4.33
275,2021-01-15,4.32
276,2021-01-18,4.31
277,2021-01-19,4.28
278,2021-01-20,4.24
279,2021-01-21,4.22
280,2021-01-22,4.32
281,2021-01-25,4.29
282,2021-01-26,4.28
283,2021-01-27,4.38
284,2021-01-28,4.31
285,2021-01-29,4.35
286,2021-01-31,4.41
287,2021-02-01,4.39
288,2021-02-02,4.33
289,2021-02-03,4.27
290,2021-02-04,4.23
291,2021-02-05,4.18
292,2021-02-08,4.15
293,2021-02-09,4.12
294,2021-02-10,4.10
295,2021-02-11,4.09
296,2021-02-12,4.10
297,2021-02-15,4.08
298,2021-02-16,4.09
299,2021-02-17,4.12
300,2021-02-18,4.13
301,2021-02-19,4.12
302,2021-02-22,4.17
303,2021-02-23,4.19
304,2021-02-24,4.16
305,2021-02-25,4.30
306,2021-02-26,4.37
307,2021-02-28,4.46
308,2021-03-01,4.38
309,2021-03-02,4.34
310,2021-03-03,4.36
311,2021-03-04,4.45
312,2021-03-05,4.52
313,2021-03-08,4.53
314,2021-03-09,4.54
315,2021-03-10,4.53
316,2021-03-11,4.41
317,2021-03-12,4.51
318,2021-03-15,4.50
319,2021-03-16,4.49
320,2021-03-17,4.57
321,2021-03-18,4.66
322,2021-03-19,4.67
323,2021-03-22,4.55
324,2021-03-23,4.51
325,2021-03-24,4.43
326,2021-03-25,4.45
327,2021-03-26,4.44
328,2021-03-29,4.42
329,2021-03-30,4.43
330,2021-03-31,4.42
331,2021-04-01,4.35
332,2021-04-02,.
333,2021-04-05,4.30
334,2021-04-06,4.25
335,2021-04-07,4.21
336,2021-04-08,4.18
337,2021-04-09,4.23
338,2021-04-12,4.25
339,2021-04-13,4.28
340,2021-04-14,4.23
341,2021-04-15,4.16
342,2021-04-16,4.16
343,2021-04-19,4.20
344,2021-04-20,4.27
345,2021-04-21,4.26
346,2021-04-22,4.26
347,2021-04-23,4.22
348,2021-04-26,4.19
349,2021-04-27,4.22
350,2021-04-28,4.22
351,2021-04-29,4.20
352,2021-04-30,4.28
353,2021-05-03,4.24
354,2021-05-04,4.27
355,2021-05-05,4.23
356,2021-05-06,4.23
357,2021-05-07,4.20
358,2021-05-10,4.20
359,2021-05-11,4.31
360,2021-05-12,4.35
361,2021-05-13,4.36
362,2021-05-14,4.32
363,2021-05-17,4.32
364,2021-05-18,4.31
365,2021-05-19,4.40
366,2021-05-20,4.38
367,2021-05-21,4.33
368,2021-05-24,4.31
369,2021-05-25,4.25
370,2021-05-26,4.27
371,2021-05-27,4.24
372,2021-05-28,4.22
373,2021-05-31,4.29
374,2021-06-01,4.29
375,2021-06-02,4.26
376,2021-06-03,4.26
377,2021-06-04,4.21
378,2021-06-07,4.20
379,2021-06-08,4.16
380,2021-06-09,4.10
381,2021-06-10,4.10
382,2021-06-11,4.08
383,2021-06-14,4.08
384,2021-06-15,4.08
385,2021-06-16,4.10
386,2021-06-17,4.12
387,2021-06-18,4.14
388,2021-06-21,4.11
389,2021-06-22,4.10
390,2021-06-23,4.09
391,2021-06-24,4.05
392,2021-06-25,4.04
393,2021-06-28,4.01
394,2021-06-29,3.99
395,2021-06-30,4.01
396,2021-07-01,4.01
397,2021-07-02,3.99
398,2021-07-05,3.98
399,2021-07-06,3.95
400,2021-07-07,3.92
401,2021-07-08,3.97
402,2021-07-09,3.95
403,2021-07-12,3.94
404,2021-07-13,3.97
405,2021-07-14,3.99
406,2021-07-15,3.99
407,2021-07-16,4.04
408,2021-07-19,4.21
409,2021-07-20,4.15
410,2021-07-21,4.07
411,2021-07-22,4.04
412,2021-07-23,4.03
413,2021-07-26,4.02
414,2021-07-27,4.05
415,2021-07-28,4.07
416,2021-07-29,4.04
417,2021-07-30,4.04
418,2021-07-31,4.12
419,2021-08-02,4.11
420,2021-08-03,4.16
421,2021-08-04,4.19
422,2021-08-05,4.17
423,2021-08-06,4.17
424,2021-08-09,4.21
425,2021-08-10,4.21
426,2021-08-11,4.26
427,2021-08-12,4.24
428,2021-08-13,4.22
429,2021-08-16,4.20
430,2021-08-17,4.20
