,date,value
0,2020-01-01,.
1,2020-01-02,0.3
2,2020-01-03,0.27
3,2020-01-06,0.27
4,2020-01-07,0.29
5,2020-01-08,0.29
6,2020-01-09,0.27
7,2020-01-10,0.27
8,2020-01-13,0.27
9,2020-01-14,0.24
10,2020-01-15,0.23
11,2020-01-16,0.23
12,2020-01-17,0.26
13,2020-01-20,.
14,2020-01-21,0.25
15,2020-01-22,0.24
16,2020-01-23,0.23
17,2020-01-24,0.21
18,2020-01-27,0.17
19,2020-01-28,0.2
20,2020-01-29,0.18
21,2020-01-30,0.16
22,2020-01-31,0.18
23,2020-02-03,0.18
24,2020-02-04,0.2
25,2020-02-05,0.22
26,2020-02-06,0.21
27,2020-02-07,0.18
28,2020-02-10,0.19
29,2020-02-11,0.18
30,2020-02-12,0.18
31,2020-02-13,0.17
32,2020-02-14,0.17
33,2020-02-17,.
34,2020-02-18,0.14
35,2020-02-19,0.14
36,2020-02-20,0.13
37,2020-02-21,0.12
38,2020-02-24,0.12
39,2020-02-25,0.13
40,2020-02-26,0.17
41,2020-02-27,0.19
42,2020-02-28,0.27
43,2020-03-02,0.26
44,2020-03-03,0.31
45,2020-03-04,0.35
46,2020-03-05,0.33
47,2020-03-06,0.25
48,2020-03-09,0.16
49,2020-03-10,0.26
50,2020-03-11,0.32
51,2020-03-12,0.38
52,2020-03-13,0.45
53,2020-03-16,0.37
54,2020-03-17,0.55
55,2020-03-18,0.64
56,2020-03-19,0.68
57,2020-03-20,0.55
58,2020-03-23,0.48
59,2020-03-24,0.46
60,2020-03-25,0.54
61,2020-03-26,0.53
62,2020-03-27,0.47
63,2020-03-30,0.47
64,2020-03-31,0.47
65,2020-04-01,0.39
66,2020-04-02,0.4
67,2020-04-03,0.39
68,2020-04-06,0.4
69,2020-04-07,0.47
70,2020-04-08,0.5
71,2020-04-09,0.5
72,2020-04-10,.
73,2020-04-13,0.51
74,2020-04-14,0.53
75,2020-04-15,0.43
76,2020-04-16,0.41
77,2020-04-17,0.45
78,2020-04-20,0.43
79,2020-04-21,0.38
80,2020-04-22,0.41
81,2020-04-23,0.39
82,2020-04-24,0.38
83,2020-04-27,0.43
84,2020-04-28,0.42
85,2020-04-29,0.43
86,2020-04-30,0.44
87,2020-05-01,0.44
88,2020-05-04,0.45
89,2020-05-05,0.47
90,2020-05-06,0.55
91,2020-05-07,0.5
92,2020-05-08,0.53
93,2020-05-11,0.56
94,2020-05-12,0.52
95,2020-05-13,0.48
