,date,value
0,2020-01-03,-0.56975
1,2020-01-10,-0.58977
2,2020-01-17,-0.61140
3,2020-01-24,-0.62514
4,2020-01-31,-0.62338
5,2020-02-07,-0.59806
6,2020-02-14,-0.53859
7,2020-02-21,-0.43836
8,2020-02-28,-0.29880
9,2020-03-06,-0.13644
10,2020-03-13,0.03118
11,2020-03-20,0.17756
12,2020-03-27,0.27001
13,2020-04-03,0.30762
14,2020-04-10,0.29301
15,2020-04-17,0.23633
16,2020-04-24,0.15702
17,2020-05-01,0.05879
18,2020-05-08,-0.04130
19,2020-05-15,-0.13178
20,2020-05-22,-0.21145
21,2020-05-29,-0.27463
22,2020-06-05,-0.32086
23,2020-06-12,-0.35036
24,2020-06-19,-0.37284
25,2020-06-26,-0.39105
26,2020-07-03,-0.40830
27,2020-07-10,-0.42705
28,2020-07-17,-0.44605
29,2020-07-24,-0.46530
30,2020-07-31,-0.48301
31,2020-08-07,-0.49681
32,2020-08-14,-0.50712
33,2020-08-21,-0.51322
34,2020-08-28,-0.51515
35,2020-09-04,-0.51284
36,2020-09-11,-0.50832
37,2020-09-18,-0.50441
38,2020-09-25,-0.49860
39,2020-10-02,-0.49538
40,2020-10-09,-0.49552
41,2020-10-16,-0.49799
42,2020-10-23,-0.50385
43,2020-10-30,-0.51228
44,2020-11-06,-0.52587
45,2020-11-13,-0.54263
46,2020-11-20,-0.55882
47,2020-11-27,-0.57341
48,2020-12-04,-0.58630
49,2020-12-11,-0.59650
50,2020-12-18,-0.60381
51,2020-12-25,-0.60996
52,2021-01-01,-0.61516
53,2021-01-08,-0.61956
54,2021-01-15,-0.62211
55,2021-01-22,-0.62399
56,2021-01-29,-0.62422
57,2021-02-05,-0.62636
58,2021-02-12,-0.62800
59,2021-02-19,-0.62971
60,2021-02-26,-0.63165
61,2021-03-05,-0.63575
62,2021-03-12,-0.64073
63,2021-03-19,-0.64611
64,2021-03-26,-0.65263
65,2021-04-02,-0.65948
66,2021-04-09,-0.66765
67,2021-04-16,-0.67443
68,2021-04-23,-0.68066
69,2021-04-30,-0.68594
70,2021-05-07,-0.69082
71,2021-05-14,-0.69284
72,2021-05-21,-0.69527
73,2021-05-28,-0.69739
74,2021-06-04,-0.69827
75,2021-06-11,-0.69747
76,2021-06-18,-0.69434
77,2021-06-25,-0.69028
78,2021-07-02,-0.68471
79,2021-07-09,-0.67799
80,2021-07-16,-0.67125
81,2021-07-23,-0.66470
82,2021-07-30,-0.65935
83,2021-08-06,-0.65464
84,2021-08-13,-0.65189
85,2021-08-20,-0.65015
86,2021-08-27,-0.65084
87,2021-09-03,-0.65200
88,2021-09-10,-0.65383
89,2021-09-17,-0.65596
90,2021-09-24,-0.65711
91,2021-10-01,-0.65733
92,2021-10-08,-0.65550
93,2021-10-15,-0.64979
94,2021-10-22,-0.63977
95,2021-10-29,-0.62513
96,2021-11-05,-0.60727
97,2021-11-12,-0.58782
98,2021-11-19,-0.56970
99,2021-11-26,-0.55359
100,2021-12-03,-0.54242
101,2021-12-10,-0.54031
102,2021-12-17,-0.54292
103,2021-12-24,-0.55000
104,2021-12-31,-0.55868
105,2022-01-07,-0.56470
106,2022-01-14,-0.56496
107,2022-01-21,-0.55853
108,2022-01-28,-0.54455
109,2022-02-04,-0.52568
110,2022-02-11,-0.50029
111,2022-02-18,-0.47066
112,2022-02-25,-0.44112
113,2022-03-04,-0.41401
114,2022-03-11,-0.39298
115,2022-03-18,-0.38110
116,2022-03-25,-0.37541
117,2022-04-01,-0.37314
118,2022-04-08,-0.37075
119,2022-04-15,-0.36400
120,2022-04-22,-0.35380
121,2022-04-29,-0.33885
122,2022-05-06,-0.32127
123,2022-05-13,-0.30241
124,2022-05-20,-0.28341
125,2022-05-27,-0.26210
126,2022-06-03,-0.23903
127,2022-06-10,-0.21455
128,2022-06-17,-0.19062
129,2022-06-24,-0.17474
130,2022-07-01,-0.16841
131,2022-07-08,-0.17159
132,2022-07-15,-0.18477
133,2022-07-22,-0.20364
134,2022-07-29,-0.22155
135,2022-08-05,-0.23450
136,2022-08-12,-0.24182
137,2022-08-19,-0.23938
138,2022-08-26,-0.22677
139,2022-09-02,-0.20583
140,2022-09-09,-0.18005
141,2022-09-16,-0.15237
142,2022-09-23,-0.12734
143,2022-09-30,-0.10879
144,2022-10-07,-0.10205
145,2022-10-14,-0.10434
146,2022-10-21,-0.11512
147,2022-10-28,-0.13044
148,2022-11-04,-0.14831
149,2022-11-11,-0.16534
150,2022-11-18,-0.17797
151,2022-11-25,-0.18559
152,2022-12-02,-0.19003
153,2022-12-09,-0.19281
154,2022-12-16,-0.19906
155,2022-12-23,-0.20891
156,2022-12-30,-0.22609
157,2023-01-06,-0.24870
158,2023-01-13,-0.27319
159,2023-01-20,-0.29411
160,2023-01-27,-0.31097
161,2023-02-03,-0.31838
162,2023-02-10,-0.31451
163,2023-02-17,-0.30001
164,2023-02-24,-0.27460
165,2023-03-03,-0.24374
166,2023-03-10,-0.21136
167,2023-03-17,-0.17981
168,2023-03-24,-0.16121
169,2023-03-31,-0.15761
170,2023-04-07,-0.16095
171,2023-04-14,-0.17233
172,2023-04-21,-0.18597
173,2023-04-28,-0.19673
174,2023-05-05,-0.20508
175,2023-05-12,-0.21172
176,2023-05-19,-0.21573
177,2023-05-26,-0.21763
178,2023-06-02,-0.21933
179,2023-06-09,-0.22024
180,2023-06-16,-0.22225
181,2023-06-23,-0.22637
182,2023-06-30,-0.23247
183,2023-07-07,-0.24121
184,2023-07-14,-0.25405
185,2023-07-21,-0.26888
186,2023-07-28,-0.28465
187,2023-08-04,-0.30192
188,2023-08-11,-0.31773
189,2023-08-18,-0.33021
190,2023-08-25,-0.33906
191,2023-09-01,-0.34479
192,2023-09-08,-0.34472
193,2023-09-15,-0.34008
194,2023-09-22,-0.33110
195,2023-09-29,-0.31877
196,2023-10-06,-0.30747
197,2023-10-13,-0.29772
198,2023-10-20,-0.29153
199,2023-10-27,-0.29038
200,2023-11-03,-0.29493
201,2023-11-10,-0.30336
202,2023-11-17,-0.31382
203,2023-11-24,-0.32501
204,2023-12-01,-0.33543
205,2023-12-08,-0.34425
206,2023-12-15,-0.35319
207,2023-12-22,-0.36229
208,2023-12-29,-0.37059
209,2024-01-05,-0.37903
210,2024-01-12,-0.38701
211,2024-01-19,-0.39407
212,2024-01-26,-0.40020
213,2024-02-02,-0.40710
214,2024-02-09,-0.41394
215,2024-02-16,-0.42188
216,2024-02-23,-0.43008
217,2024-03-01,-0.43641
218,2024-03-08,-0.43994
219,2024-03-15,-0.44124
220,2024-03-22,-0.43912
221,2024-03-29,-0.43427
222,2024-04-05,-0.42853
223,2024-04-12,-0.42238
224,2024-04-19,-0.41700
225,2024-04-26,-0.41470
226,2024-05-03,-0.41449
227,2024-05-10,-0.41517
228,2024-05-17,-0.41549
229,2024-05-24,-0.41488
230,2024-05-31,-0.41136
231,2024-06-07,-0.40573
232,2024-06-14,-0.39858
233,2024-06-21,-0.39098
234,2024-06-28,-0.38451
235,2024-07-05,-0.37955
236,2024-07-12,-0.37433
237,2024-07-19,-0.36953
238,2024-07-26,-0.36587
239,2024-08-02,-0.36379
240,2024-08-09,-0.36471
241,2024-08-16,-0.37296
242,2024-08-23,-0.38332
243,2024-08-30,-0.39504
244,2024-09-06,-0.40664
245,2024-09-13,-0.41685
246,2024-09-20,-0.42515
247,2024-09-27,-0.43159
248,2024-10-04,-0.43577
249,2024-10-11,-0.43881
250,2024-10-18,-0.44310
251,2024-10-25,-0.44744
252,2024-11-01,-0.45328
253,2024-11-08,-0.46115
254,2024-11-15,-0.46855
255,2024-11-22,-0.47357
256,2024-11-29,-0.47699
257,2024-12-06,-0.47939
258,2024-12-13,-0.48104
259,2024-12-20,-0.48231
260,2024-12-27,-0.48658
261,2025-01-03,-0.49156
262,2025-01-10,-0.49788
263,2025-01-17,-0.50315
264,2025-01-24,-0.50806
265,2025-01-31,-0.51076
266,2025-02-07,-0.50942
267,2025-02-14,-0.50469
268,2025-02-21,-0.49509
269,2025-02-28,-0.48172
270,2025-03-07,-0.46533
271,2025-03-14,-0.44758
272,2025-03-21,-0.43059
273,2025-03-28,-0.41475
274,2025-04-04,-0.40087
275,2025-04-11,-0.39089
276,2025-04-18,-0.39195
277,2025-04-25,-0.39860
278,2025-05-02,-0.41157
279,2025-05-09,-0.42827
280,2025-05-16,-0.44472
281,2025-05-23,-0.45824
282,2025-05-30,-0.46937
283,2025-06-06,-0.47885
284,2025-06-13,-0.48791
285,2025-06-20,-0.49765
286,2025-06-27,-0.50952
287,2025-07-04,-0.52402
288,2025-07-11,-0.53873
289,2025-07-18,-0.55311
