,date,value
0,2020-01-04,1827000
1,2020-01-11,1804000
2,2020-01-18,1774000
3,2020-01-25,1796000
4,2020-02-01,1755000
5,2020-02-08,1782000
6,2020-02-15,1760000
7,2020-02-22,1783000
8,2020-02-29,1771000
9,2020-03-07,1753000
10,2020-03-14,1844000
11,2020-03-21,3238000
12,2020-03-28,8004000
13,2020-04-04,12396000
14,2020-04-11,16193000
15,2020-04-18,17789000
16,2020-04-25,21750000
17,2020-05-02,20939000
18,2020-05-09,23130000
19,2020-05-16,19153000
20,2020-05-23,19194000
21,2020-05-30,19216000
22,2020-06-06,18743000
23,2020-06-13,17860000
24,2020-06-20,17501000
25,2020-06-27,16610000
26,2020-07-04,17273000
27,2020-07-11,16251000
28,2020-07-18,16799000
29,2020-07-25,15929000
30,2020-08-01,15255000
31,2020-08-08,14184000
32,2020-08-15,13910000
33,2020-08-22,13217000
34,2020-08-29,13501000
35,2020-09-05,12765000
36,2020-09-12,12684000
37,2020-09-19,11367000
38,2020-09-26,10481000
39,2020-10-03,9270000
40,2020-10-10,8425000
41,2020-10-17,7777000
42,2020-10-24,7180000
43,2020-10-31,6705000
44,2020-11-07,6341000
45,2020-11-14,6088000
46,2020-11-21,5580000
47,2020-11-28,5784000
48,2020-12-05,5609000
49,2020-12-12,5416000
50,2020-12-19,5332000
51,2020-12-26,5181000
52,2021-01-02,5330000
53,2021-01-09,5069000
54,2021-01-16,4877000
55,2021-01-23,4789000
56,2021-01-30,4658000
57,2021-02-06,4599000
58,2021-02-13,4495000
59,2021-02-20,4406000
60,2021-02-27,4227000
61,2021-03-06,4185000
62,2021-03-13,3970000
63,2021-03-20,3887000
64,2021-03-27,3859000
65,2021-04-03,3830000
66,2021-04-10,3779000
67,2021-04-17,3776000
68,2021-04-24,3767000
69,2021-05-01,3756000
70,2021-05-08,3737000
71,2021-05-15,3618000
72,2021-05-22,3575000
73,2021-05-29,3422000
74,2021-06-05,3350000
75,2021-06-12,3268000
76,2021-06-19,3263000
77,2021-06-26,3316000
78,2021-07-03,3182000
79,2021-07-10,3069000
80,2021-07-17,3142000
81,2021-07-24,2868000
82,2021-07-31,2793000
83,2021-08-07,2815000
84,2021-08-14,2805000
85,2021-08-21,2736000
86,2021-08-28,2789000
87,2021-09-04,2611000
88,2021-09-11,2756000
89,2021-09-18,2803000
90,2021-09-25,2722000
91,2021-10-02,2624000
92,2021-10-09,2536000
93,2021-10-16,2268000
94,2021-10-23,2173000
95,2021-10-30,2199000
96,2021-11-06,2041000
97,2021-11-13,1970000
98,2021-11-20,1807000
99,2021-11-27,1876000
100,2021-12-04,1767000
101,2021-12-11,1769000
102,2021-12-18,1625000
103,2021-12-25,1705000
104,2022-01-01,1690000
105,2022-01-08,1721000
106,2022-01-15,1697000
107,2022-01-22,1706000
108,2022-01-29,1692000
109,2022-02-05,1667000
110,2022-02-12,1634000
111,2022-02-19,1614000
112,2022-02-26,1610000
113,2022-03-05,1581000
114,2022-03-12,1538000
115,2022-03-19,1518000
116,2022-03-26,1528000
117,2022-04-02,1491000
118,2022-04-09,1426000
119,2022-04-16,1428000
120,2022-04-23,1422000
121,2022-04-30,1380000
122,2022-05-07,1367000
123,2022-05-14,1374000
124,2022-05-21,1360000
125,2022-05-28,1364000
126,2022-06-04,1349000
127,2022-06-11,1359000
128,2022-06-18,1362000
129,2022-06-25,1403000
130,2022-07-02,1363000
131,2022-07-09,1371000
132,2022-07-16,1392000
133,2022-07-23,1420000
134,2022-07-30,1429000
135,2022-08-06,1424000
136,2022-08-13,1411000
137,2022-08-20,1421000
138,2022-08-27,1420000
139,2022-09-03,1397000
140,2022-09-10,1402000
141,2022-09-17,1382000
142,2022-09-24,1397000
143,2022-10-01,1392000
144,2022-10-08,1406000
145,2022-10-15,1405000
146,2022-10-22,1432000
147,2022-10-29,1430000
148,2022-11-05,1409000
149,2022-11-12,1452000
150,2022-11-19,1465000
151,2022-11-26,1513000
152,2022-12-03,1537000
153,2022-12-10,1553000
154,2022-12-17,1557000
155,2022-12-24,1596000
156,2022-12-31,1585000
157,2023-01-07,1584000
158,2023-01-14,1601000
159,2023-01-21,1597000
160,2023-01-28,1628000
161,2023-02-04,1637000
162,2023-02-11,1643000
163,2023-02-18,1634000
164,2023-02-25,1661000
165,2023-03-04,1658000
166,2023-03-11,1674000
167,2023-03-18,1690000
168,2023-03-25,1701000
169,2023-04-01,1691000
170,2023-04-08,1735000
171,2023-04-15,1724000
172,2023-04-22,1708000
173,2023-04-29,1710000
174,2023-05-06,1715000
175,2023-05-13,1714000
176,2023-05-20,1739000
177,2023-05-27,1729000
178,2023-06-03,1755000
179,2023-06-10,1764000
180,2023-06-17,1759000
181,2023-06-24,1775000
182,2023-07-01,1778000
183,2023-07-08,1793000
184,2023-07-15,1772000
185,2023-07-22,1781000
186,2023-07-29,1778000
187,2023-08-05,1807000
188,2023-08-12,1801000
189,2023-08-19,1821000
190,2023-08-26,1806000
191,2023-09-02,1812000
192,2023-09-09,1799000
193,2023-09-16,1799000
194,2023-09-23,1793000
195,2023-09-30,1798000
196,2023-10-07,1808000
197,2023-10-14,1806000
198,2023-10-21,1816000
199,2023-10-28,1821000
200,2023-11-04,1805000
201,2023-11-11,1789000
202,2023-11-18,1807000
203,2023-11-25,1814000
204,2023-12-02,1813000
205,2023-12-09,1801000
206,2023-12-16,1801000
207,2023-12-23,1813000
208,2023-12-30,1752000
209,2024-01-06,1723000
210,2024-01-13,1752000
211,2024-01-20,1824000
212,2024-01-27,1802000
213,2024-02-03,1797000
214,2024-02-10,1781000
215,2024-02-17,1797000
216,2024-02-24,1790000
217,2024-03-02,1795000
218,2024-03-09,1790000
219,2024-03-16,1802000
220,2024-03-23,1788000
221,2024-03-30,1804000
222,2024-04-06,1793000
223,2024-04-13,1776000
224,2024-04-20,1771000
225,2024-04-27,1786000
226,2024-05-04,1790000
227,2024-05-11,1793000
228,2024-05-18,1798000
229,2024-05-25,1810000
230,2024-06-01,1825000
231,2024-06-08,1832000
232,2024-06-15,1844000
233,2024-06-22,1864000
234,2024-06-29,1856000
235,2024-07-06,1866000
236,2024-07-13,1853000
237,2024-07-20,1874000
238,2024-07-27,1876000
239,2024-08-03,1863000
240,2024-08-10,1859000
241,2024-08-17,1864000
242,2024-08-24,1849000
243,2024-08-31,1845000
244,2024-09-07,1827000
245,2024-09-14,1831000
246,2024-09-21,1825000
247,2024-09-28,1858000
248,2024-10-05,1869000
249,2024-10-12,1884000
250,2024-10-19,1855000
251,2024-10-26,1880000
252,2024-11-02,1872000
253,2024-11-09,1892000
254,2024-11-16,1892000
255,2024-11-23,1871000
256,2024-11-30,1873000
257,2024-12-07,1862000
258,2024-12-14,1882000
259,2024-12-21,1828000
260,2024-12-28,1871000
261,2025-01-04,1850000
262,2025-01-11,1888000
263,2025-01-18,1849000
264,2025-01-25,1874000
265,2025-02-01,1839000
266,2025-02-08,1861000
267,2025-02-15,1847000
268,2025-02-22,1892000
269,2025-03-01,1851000
270,2025-03-08,1881000
271,2025-03-15,1847000
272,2025-03-22,1893000
273,2025-03-29,1844000
