,year,period,MoM_growth
0,2025,M06,0.0022771672771673924
1,2025,M05,0.0012972152704264846
2,2025,M04,0.0023619152651411174
3,2025,M03,0.0005650081834064746
4,2025,M02,0.002261310392503408
5,2025,M01,0.004443568527340368
6,2024,M12,0.002094056220924367
7,2024,M11,0.0028857568835066747
8,2024,M10,0.0026516376115988433
9,2024,M09,0.003104399457665096
10,2024,M08,0.002832675189704839
11,2024,M07,0.0018499183214028495
12,2024,M06,0.0009109671015226358
13,2024,M05,0.0014368674403322517
14,2024,M04,0.0026259776571493443
15,2024,M03,0.003810431806845498
16,2024,M02,0.0036950769279523277
17,2024,M01,0.003686515749596811
18,2023,M12,0.0027360086837149304
19,2023,M11,0.0030092229482061436
20,2023,M10,0.0026233571907922646
21,2023,M09,0.003122826898807436
22,2023,M08,0.002218662601809847
23,2023,M07,0.0021620991782081325
24,2023,M06,0.0021667839800707978
25,2023,M05,0.0036830796136829214
26,2023,M04,0.00446017814610597
27,2023,M03,0.003362578370034414
28,2023,M02,0.00464325527709901
29,2023,M01,0.004136313329038471
30,2022,M12,0.0037056327608457557
31,2022,M11,0.003113387232115513
32,2022,M10,0.003674247864760843
33,2022,M09,0.0056959712485877825
34,2022,M08,0.005064366684424576
35,2022,M07,0.003629524196827876
36,2022,M06,0.006700475155522543
37,2022,M05,0.005358873301168672
38,2022,M04,0.004922987943843535
39,2022,M03,0.0027262285326801836
40,2022,M02,0.005054534857904064
41,2022,M01,0.005502111234697383
42,2021,M12,0.006345956293540806
43,2021,M11,0.006217119307295766
44,2021,M10,0.006824096659317183
45,2021,M09,0.002523889363557899
46,2021,M08,0.0013690725787664907
47,2021,M07,0.0037001281227681906
48,2021,M06,0.007748335782830504
49,2021,M05,0.006647135487571626
50,2021,M04,0.007941496787585982
51,2021,M03,0.002493986067569576
52,2021,M02,0.0013295122167400863
53,2021,M01,0.00027735045263589664
54,2020,M12,0.0013316515068007206
55,2020,M11,0.002500175938306812
56,2020,M10,0.001385041551246502
57,2020,M09,0.0019001015122724518
58,2020,M08,0.0038484177898980535
59,2020,M07,0.005759399227343011
60,2020,M06,0.0016437902719213231
61,2020,M05,-0.0012584208701942761
62,2020,M04,-0.00492199318145896
63,2020,M03,-0.0011832812839352002
64,2020,M02,0.002446048546957386
65,2020,M01,
