,year,period,MoM_growth
0,2025,M06,0.002603817714487463
1,2025,M05,0.0021190257366973633
2,2025,M04,0.002698774536052522
3,2025,M03,0.0020893864689981783
4,2025,M02,0.004335100168484821
5,2025,M01,0.0056663434637878336
6,2024,M12,0.0001863313530451272
7,2024,M11,0.0005870531484996641
8,2024,M10,0.0020170438652652024
9,2024,M09,0.003400714399160362
10,2024,M08,0.002509241696534863
11,2024,M07,0.0006609985777566546
12,2024,M06,0.0011724027673719896
13,2024,M05,0.0020431285287905694
14,2024,M04,0.002798935775430962
15,2024,M03,0.00526352305984471
16,2024,M02,0.005694013360006824
17,2024,M01,0.005471537482901472
18,2023,M12,0.0009650312432872226
19,2023,M11,0.0007252748663376157
20,2023,M10,0.0018080801592908606
21,2023,M09,0.0022971716476254474
22,2023,M08,0.0022605392401880077
23,2023,M07,0.0015901642523317944
24,2023,M06,0.0026350717037325476
25,2023,M05,0.003885152679684263
26,2023,M04,0.0046367045835926535
27,2023,M03,0.004795794104937786
28,2023,M02,0.006739887701431971
29,2023,M01,0.006123287036117093
30,2022,M12,0.0017093561425195736
31,2022,M11,0.0009512683578104973
32,2022,M10,0.0029166597063294206
33,2022,M09,0.004235328807607542
34,2022,M08,0.00515515953401659
35,2022,M07,0.003267421172618632
36,2022,M06,0.0073774942310303885
37,2022,M05,0.005675097262962019
38,2022,M04,0.005298336576745071
39,2022,M03,0.004306873368935832
40,2022,M02,0.007161727285035513
41,2022,M01,0.007300801409809807
42,2021,M12,0.004064697014525819
43,2021,M11,0.004021163272668116
44,2021,M10,0.0061537478206216386
45,2021,M09,0.0013469866087379397
46,2021,M08,0.0012915597820447788
47,2021,M07,0.0033244252111798026
48,2021,M06,0.008356756212754191
49,2021,M05,0.006977342665453472
50,2021,M04,0.008230888278923069
51,2021,M03,0.003742919919179413
52,2021,M02,0.0034762242515590583
53,2021,M01,0.001961038720320277
54,2020,M12,-0.000917444823308351
55,2020,M11,0.0005380873037374381
56,2020,M10,0.0010173468781560066
57,2020,M09,0.0011075843510968126
58,2020,M08,0.0039180520620934875
59,2020,M07,0.005233411653959626
60,2020,M06,0.001888832979099078
61,2020,M05,-0.0010910500039504306
62,2020,M04,-0.004596206532400863
63,2020,M03,0.0001646016639733329
64,2020,M02,0.004729335348788308
65,2020,M01,
