,year,period,MoM_growth
0,2025,M06,-0.00043543635485336645
1,2025,M05,0.0034887753922322397
2,2025,M04,-0.0021087831843308365
3,2025,M03,0.0025674378060325225
4,2025,M02,0.0012904371099670424
5,2025,M01,0.005756359683605208
6,2024,M12,0.004091287277127977
7,2024,M11,-0.00042116600845079003
8,2024,M10,0.0035956576050572933
9,2024,M09,0.004294342550008343
10,2024,M08,0.004305907231698154
11,2024,M07,-0.0007545218916143561
12,2024,M06,0.0053474815874899025
13,2024,M05,0.002870598474161246
14,2024,M04,0.0048919546702329356
15,2024,M03,0.0012378426171530425
16,2024,M02,0.0031373937677052666
17,2024,M01,0.004141889923769322
18,2023,M12,0.0004993793428167361
19,2023,M11,0.0017272883001200438
20,2023,M10,0.0007221403955327329
21,2023,M09,-0.00019318694056292697
22,2023,M08,0.0019028815062810795
23,2023,M07,0.005891543985894717
24,2023,M06,-0.00037490987743346013
25,2023,M05,0.0013909709409594964
26,2023,M04,0.0023022683477795626
27,2023,M03,-0.0003616898148146914
28,2023,M02,0.0022561284257718085
29,2023,M01,0.0018553682471118599
30,2022,M12,0.001982254106097763
31,2022,M11,0.0038996282257419213
32,2022,M10,0.0021546529547962273
33,2022,M09,0.001595690172597969
34,2022,M08,0.004076246334310935
35,2022,M07,0.003967786578722559
36,2022,M06,0.002571967037434043
37,2022,M05,0.0048163489111347005
38,2022,M04,0.004415257581510936
39,2022,M03,0.012092974557637871
40,2022,M02,0.005692786361537427
41,2022,M01,0.008161711523088071
42,2021,M12,0.007031387931497677
43,2021,M11,0.010157935017045795
44,2021,M10,0.0044516295307045865
45,2021,M09,0.0019219756340558749
46,2021,M08,0.007702706951299948
47,2021,M07,0.009885305113744412
48,2021,M06,0.006399999999999977
49,2021,M05,0.008051529790660225
50,2021,M04,0.01055194805194803
51,2021,M03,0.004922067268252736
52,2021,M02,0.003297609233305783
53,2021,M01,0.008271298593879239
54,2020,M12,0.0016680567139282971
55,2020,M11,-0.0
56,2020,M10,0.005012531328320873
57,2020,M09,0.002518891687657407
58,2020,M08,0.0008417508417507939
59,2020,M07,0.005054759898904874
60,2020,M06,0.00169348010160871
61,2020,M05,-0.0
62,2020,M04,-0.003392705682781946
63,2020,M03,0.0008453085376161818
64,2020,M02,-0.003384094754653058
65,2020,M01,
