,year,period,MoM_growth
0,2025,M06,0.0006657699153522004
1,2025,M05,0.002467709041468386
2,2025,M04,-0.002208032057354398
3,2025,M03,0.0038555429379645676
4,2025,M02,0.002559831801985064
5,2025,M01,0.007931891129832478
6,2024,M12,0.002366169977925067
7,2024,M11,-0.0029595414093778554
8,2024,M10,0.0055293184873659385
9,2024,M09,0.003480238209133068
10,2024,M08,0.0037497999874775857
11,2024,M07,-0.0018295833857069068
12,2024,M06,0.00649640327887127
13,2024,M05,0.001831167737771336
14,2024,M04,0.004800697260861264
15,2024,M03,0.0025779020820972166
16,2024,M02,0.004411462722077982
17,2024,M01,0.006251778093883291
18,2023,M12,-0.0013956384509128418
19,2023,M11,-0.0007861859973127708
20,2023,M10,0.0025566680473626618
21,2023,M09,-0.0008520205057708263
22,2023,M08,0.0013019808708965522
23,2023,M07,0.004906701049389365
24,2023,M06,0.0009933774834435419
25,2023,M05,0.0002161663616319201
26,2023,M04,0.0022918588560886474
27,2023,M03,0.0012207983587847722
28,2023,M02,0.0034643619137163057
29,2023,M01,0.003817514116093148
30,2022,M12,6.55689931515819e-05
31,2022,M11,0.0013478954615995678
32,2022,M10,0.004216946580479499
33,2022,M09,0.0008938514741221622
34,2022,M08,0.0034612733379288706
35,2022,M07,0.0030538507954728836
36,2022,M06,0.0034248850375336918
37,2022,M05,0.0033551827574712038
38,2022,M04,0.004503500245240283
39,2022,M03,0.013467108602824825
40,2022,M02,0.007226527029481083
41,2022,M01,0.01032035793501386
42,2021,M12,0.005144674722549371
43,2021,M11,0.00770272885620286
44,2021,M10,0.006444063036355184
45,2021,M09,0.0012877491087834028
46,2021,M08,0.007076027989621759
47,2021,M07,0.009422757146250786
48,2021,M06,0.006394884092725797
49,2021,M05,0.0064360418342719
50,2021,M04,0.011336032388664014
51,2021,M03,0.00573300573300564
52,2021,M02,0.004942339373970416
53,2021,M01,0.010761589403973487
54,2020,M12,-0.0008368200836819608
55,2020,M11,-0.001672240802675609
56,2020,M10,0.006677796327211997
57,2020,M09,0.001680672268907587
58,2020,M08,0.0008417508417507939
59,2020,M07,0.004212299915754001
60,2020,M06,0.0016920473773265892
61,2020,M05,-0.0008474576271185959
62,2020,M04,-0.0033869602032176606
63,2020,M03,0.0016877637130801927
64,2020,M02,-0.0016906170752324838
65,2020,M01,
