,year,period,MoM_growth
0,2025,M06,0.003397806926441832
1,2025,M05,0.002084208234177777
2,2025,M04,0.003104786545925085
3,2025,M03,0.0022420332771521632
4,2025,M02,0.004422060786882373
5,2025,M01,0.006503583896546975
6,2024,M12,0.000354873972212174
7,2024,M11,-0.0005420088559809323
8,2024,M10,0.001149956916214708
9,2024,M09,0.0016016441432155162
10,2024,M08,0.0008132250727454346
11,2024,M07,0.0011604247472499813
12,2024,M06,0.0003373915811251517
13,2024,M05,0.0016588711397814333
14,2024,M04,0.003878194088305485
15,2024,M03,0.00642265281815495
16,2024,M02,0.0061515954190111315
17,2024,M01,0.005417989280746497
18,2023,M12,-0.000994307994236296
19,2023,M11,-0.0020192085353899015
20,2023,M10,-0.00038352655921420936
21,2023,M09,0.002478970983368401
22,2023,M08,0.004348165953372145
23,2023,M07,0.0019038833331697488
24,2023,M06,0.0032185219052862125
25,2023,M05,0.002512108428386858
26,2023,M04,0.005033573639501149
27,2023,M03,0.0032998051922237164
28,2023,M02,0.005551123520808268
29,2023,M01,0.007931945047966007
30,2022,M12,-0.003079545952283841
31,2022,M11,-0.0010110476267252057
32,2022,M10,0.00404010576755301
33,2022,M09,0.002146168566884991
34,2022,M08,-0.0003545249197254903
35,2022,M07,-0.00011813309211670256
36,2022,M06,0.013549952583602993
37,2022,M05,0.010903330870076949
38,2022,M04,0.0055515393847993715
39,2022,M03,0.013175468863041943
40,2022,M02,0.009051304825952655
41,2022,M01,0.008344359554398407
42,2021,M12,0.003063105716601896
43,2021,M11,0.00488940377336761
44,2021,M10,0.008239662459461498
45,2021,M09,0.0027086143414385
46,2021,M08,0.0020616521729595358
47,2021,M07,0.0047874931777305
48,2021,M06,0.009205141039985988
49,2021,M05,0.007953342372629579
50,2021,M04,0.00815190935166657
51,2021,M03,0.007033453263212735
52,2021,M02,0.005444577094755474
53,2021,M01,0.004235765457867912
54,2020,M12,0.0009405929190629566
55,2020,M11,-0.0006110003112642781
56,2020,M10,0.00041476565740358273
57,2020,M09,0.0013908098970338344
58,2020,M08,0.0031432990404666366
59,2020,M07,0.005032786442352494
60,2020,M06,0.005442266589603525
61,2020,M05,1.9501236378368653e-05
62,2020,M04,-0.006731958079324772
63,2020,M03,-0.002181198303081914
64,2020,M02,0.00273312767224114
65,2020,M01,
