,year,period,MoM_growth
0,2025,M06,0.01480793649118747
1,2025,M05,0.0007461700767948361
2,2025,M04,0.01484165094609271
3,2025,M03,-0.000482348930491119
4,2025,M02,0.010229567146487265
5,2025,M01,0.018612316651101444
6,2024,M12,-0.0009329646257132514
7,2024,M11,-0.017128177977950337
8,2024,M10,-0.010751190402005787
9,2024,M09,-0.024929281206933947
10,2024,M08,-0.01859072798941319
11,2024,M07,0.004144260563869495
12,2024,M06,-0.012083369669486347
13,2024,M05,-0.0021403534168104974
14,2024,M04,0.01980327417801617
15,2024,M03,0.03042434789931296
16,2024,M02,0.021391012951858464
17,2024,M01,0.00386435914503371
18,2023,M12,-0.02841392111368908
19,2023,M11,-0.035104628035332125
20,2023,M10,-0.03225761454068644
21,2023,M09,0.005662085647491401
22,2023,M08,0.03227691554999865
23,2023,M07,0.003419607622846032
24,2023,M06,0.014225623031558516
25,2023,M05,-0.012636875661148761
26,2023,M04,0.015062537056382072
27,2023,M03,-0.009276776884378892
28,2023,M02,-0.0058827079627794725
29,2023,M01,0.029622701443546298
30,2022,M12,-0.06552773908204411
31,2022,M11,-0.025280505746655628
32,2022,M10,0.010041317223722156
33,2022,M09,-0.027002485345207373
34,2022,M08,-0.06560850372660221
35,2022,M07,-0.047663387696023726
36,2022,M06,0.07085595614181736
37,2022,M05,0.057747007996565326
38,2022,M04,0.0007471462697969075
39,2022,M03,0.10218075011902915
40,2022,M02,0.026582415571514445
41,2022,M01,0.017057160285897443
42,2021,M12,-0.011291650891661934
43,2021,M11,0.014519490544191542
44,2021,M10,0.027845444078045515
45,2021,M09,0.0064013729313373135
46,2021,M08,0.0074562417135976
47,2021,M07,0.01666666666666672
48,2021,M06,0.02235377201728149
49,2021,M05,0.02644270605382017
50,2021,M04,0.014206777352956685
51,2021,M03,0.05571568353987631
52,2021,M02,0.037528659911757904
53,2021,M01,0.0346757732385652
54,2020,M12,0.01901037066942543
55,2020,M11,-0.01064880548181983
56,2020,M10,-0.012216351586598692
57,2020,M09,0.007522956079212349
58,2020,M08,-0.0015352499467982553
59,2020,M07,0.021683150785419783
60,2020,M06,0.05327879449164593
61,2020,M05,-2.731106207255704e-05
62,2020,M04,-0.0900803469502571
63,2020,M03,-0.04399893773205797
64,2020,M02,-0.022504967507223247
65,2020,M01,
