,year,period,MoM_growth
0,2025,M06,0.002579073256971357
1,2025,M05,0.002290824488288213
2,2025,M04,-5.971610961517595e-06
3,2025,M03,0.004245790039412473
4,2025,M02,0.0024048120228605994
5,2025,M01,0.0056628273258470625
6,2024,M12,0.0016686214526680438
7,2024,M11,0.0006328347362684043
8,2024,M10,0.0019209152524913258
9,2024,M09,0.0038279748768277515
10,2024,M08,0.00060946622947619
11,2024,M07,0.0024759418946444394
12,2024,M06,0.0018309979703127355
13,2024,M05,0.0013413158982681962
14,2024,M04,0.0018889505591724257
15,2024,M03,0.0009247567521067794
16,2024,M02,0.001254651127033474
17,2024,M01,0.005693049491658988
18,2023,M12,0.0007122220398659109
19,2023,M11,-0.0017322429602452595
20,2023,M10,0.0031336810389095433
21,2023,M09,0.0020822407517169924
22,2023,M08,0.0017351933279017618
23,2023,M07,0.0028035636408945777
24,2023,M06,0.000965263026365194
25,2023,M05,0.002270090772362424
26,2023,M04,0.0023410689941550287
27,2023,M03,0.0009046987792849453
28,2023,M02,0.00422889482785734
29,2023,M01,0.007091773101150853
30,2022,M12,0.0031546242912431147
31,2022,M11,0.0019364079791492276
32,2022,M10,0.006974365530908445
33,2022,M09,0.006849535531965527
34,2022,M08,0.007363474315345945
35,2022,M07,0.010810440188325754
36,2022,M06,0.00952578993751784
37,2022,M05,0.010550484702463657
38,2022,M04,0.009602074667834226
39,2022,M03,0.00958974917024863
40,2022,M02,0.010231970444026376
41,2022,M01,0.009394166458524223
42,2021,M12,0.004860692823824318
43,2021,M11,0.0043108302131134495
44,2021,M10,0.008803893363680973
45,2021,M09,0.00802632892616197
46,2021,M08,0.0036448467115503176
47,2021,M07,0.006519064746903774
48,2021,M06,0.007041179461108365
49,2021,M05,0.003927721153740498
50,2021,M04,0.004523308624025773
51,2021,M03,0.001707636417282776
52,2021,M02,0.0015221374948278157
53,2021,M01,0.0032450233108858493
54,2020,M12,0.0031330856067383396
55,2020,M11,-0.002346027951247288
56,2020,M10,0.0026154572034669957
57,2020,M09,0.00030544018773394534
58,2020,M08,0.0009352306219096454
59,2020,M07,-0.0034274163471722237
60,2020,M06,0.004679410223340611
61,2020,M05,0.006180169683933698
62,2020,M04,0.014342237268775131
63,2020,M03,0.003175510826471371
64,2020,M02,0.0032468153292517267
65,2020,M01,
