,year,period,MoM_growth
0,2025,M06,0.0018437616589040034
1,2025,M05,0.0031348793915440517
2,2025,M04,0.0033842216411176904
3,2025,M03,0.003288914779484983
4,2025,M02,0.003609044528595884
5,2025,M01,0.0046706244363355544
6,2024,M12,0.0024358980655237394
7,2024,M11,0.0023704615384615934
8,2024,M10,0.0028473649537241424
9,2024,M09,0.002167603239527523
10,2024,M08,0.004245431573413454
11,2024,M07,0.0032648893648284387
12,2024,M06,0.002398596820859746
13,2024,M05,0.00434538687718212
14,2024,M04,0.0034336253801514043
15,2024,M03,0.005724757303608951
16,2024,M02,0.00510274024767328
17,2024,M01,0.0062848306693613154
18,2023,M12,0.003957034971355784
19,2023,M11,0.0037562001794313716
20,2023,M10,0.002592932834758781
21,2023,M09,0.005739000033728272
22,2023,M08,0.002596413035820074
23,2023,M07,0.004269725241087746
24,2023,M06,0.0047767437216561055
25,2023,M05,0.005649777177012235
26,2023,M04,0.004420713898830755
27,2023,M03,0.006563174218806288
28,2023,M02,0.00785213819763231
29,2023,M01,0.007351488832068359
30,2022,M12,0.00728599932400755
31,2022,M11,0.005771633328299333
32,2022,M10,0.0065977525110952435
33,2022,M09,0.006783355203167042
34,2022,M08,0.006518988759012964
35,2022,M07,0.005544677194415929
36,2022,M06,0.0067626718645085815
37,2022,M05,0.0062496434480003825
38,2022,M04,0.005083398155510119
39,2022,M03,0.005801776018556357
40,2022,M02,0.005812418203925174
41,2022,M01,0.003978354018049993
42,2021,M12,0.0036455173909347685
43,2021,M11,0.003900034412068406
44,2021,M10,0.0036023161120969037
45,2021,M09,0.003458279868781038
46,2021,M08,0.0014035755492380845
47,2021,M07,0.00473479208604824
48,2021,M06,0.005289897134240033
49,2021,M05,0.003308728425586766
50,2021,M04,0.003718077946848298
51,2021,M03,0.0033835975790768823
52,2021,M02,0.0021975349918694647
53,2021,M01,0.001766773688475104
54,2020,M12,0.0008147646337220887
55,2020,M11,0.0004947546841357146
56,2020,M10,0.00047972182245415633
57,2020,M09,0.00036378532386056124
58,2020,M08,0.0012752410572574977
59,2020,M07,0.0023455202400635765
60,2020,M06,0.0016850104660942591
61,2020,M05,0.0022842912701950564
62,2020,M04,-0.0002865753323349965
63,2020,M03,0.0011120866256950233
64,2020,M02,0.0037038864593806763
65,2020,M01,
