TimePeriod,Personal consumption expenditures (PCE)
2020M01,14844290
2020M02,14833847
2020M03,13810544
2020M04,12234409
2020M05,13251701
2020M06,14040802
2020M07,14303831
2020M08,14454899
2020M09,14675370
2020M10,14725953
2020M11,14704904
2020M12,14827338
2021M01,15081525
2021M02,14984400
2021M03,15712357
2021M04,15914954
2021M05,15950527
2021M06,16183559
2021M07,16223480
2021M08,16390625
2021M09,16477524
2021M10,16693955
2021M11,16848981
2021M12,16905459
2022M01,17017812
2022M02,17136077
2022M03,17371426
2022M04,17493773
2022M05,17569866
2022M06,17747620
2022M07,17743986
2022M08,17897510
2022M09,17987206
2022M10,18096208
2022M11,18093997
2022M12,18134604
2023M01,18475214
2023M02,18532105
2023M03,18511313
2023M04,18638696
2023M05,18676378
2023M06,18742097
2023M07,18850517
2023M08,18911553
2023M09,19024890
2023M10,19069530
2023M11,19151017
2023M12,19289914
2024M01,19308453
2024M02,19412699
2024M03,19553172
2024M04,19603274
2024M05,19697331
2024M06,19747490
2024M07,19866269
2024M08,19904952
2024M09,20044053
2024M10,20123196
2024M11,20235069
2024M12,20408100
2025M01,20369993
2025M02,20436345
2025M03,20578466
2025M04,20621996
2025M05,20592684
