,date,value
0,2020-01-01,
1,2020-01-02,3.1
2,2020-01-03,4.251
3,2020-01-06,3.825
4,2020-01-07,1.602
5,2020-01-08,0.876
6,2020-01-09,0.401
7,2020-01-10,0.627
8,2020-01-13,1.0
9,2020-01-14,0.656
10,2020-01-15,0.675
11,2020-01-16,0.3
12,2020-01-17,16.15
13,2020-01-20,16.15
14,2020-01-21,13.381
15,2020-01-22,15.604
16,2020-01-23,12.904
17,2020-01-24,0.0
18,2020-01-27,0.002
19,2020-01-28,0.002
20,2020-01-29,0.3
21,2020-01-30,4.14
22,2020-01-31,4.5
23,2020-02-03,6.16
24,2020-02-04,2.112
25,2020-02-05,4.112
26,2020-02-06,0.403
27,2020-02-07,1.1
28,2020-02-10,0.83
29,2020-02-11,0.228
30,2020-02-12,0.309
31,2020-02-13,0.45
32,2020-02-14,0.0
33,2020-02-17,0.0
34,2020-02-18,9.454
35,2020-02-19,0.095
36,2020-02-20,3.6
37,2020-02-21,4.532
38,2020-02-24,0.592
39,2020-02-25,0.111
40,2020-02-26,2.3
41,2020-02-27,0.275
42,2020-02-28,2.187
43,2020-03-02,2.525
44,2020-03-03,0.627
45,2020-03-04,5.025
46,2020-03-05,0.85
47,2020-03-06,2.93
48,2020-03-09,2.504
49,2020-03-10,0.151
50,2020-03-11,1.325
51,2020-03-12,21.05
52,2020-03-13,15.1
53,2020-03-16,1.425
54,2020-03-17,5.7
55,2020-03-18,0.477
56,2020-03-19,1.195
57,2020-03-20,12.203
58,2020-03-23,26.944
59,2020-03-24,41.516
60,2020-03-25,97.411
61,2020-03-26,138.48
62,2020-03-27,210.794
63,2020-03-30,237.497
64,2020-03-31,284.908
65,2020-04-01,207.828
66,2020-04-02,182.627
67,2020-04-03,148.117
68,2020-04-06,144.294
69,2020-04-07,88.36
70,2020-04-08,53.483
71,2020-04-09,5.525
72,2020-04-10,5.525
73,2020-04-13,6.1
74,2020-04-14,9.9
75,2020-04-15,3.15
76,2020-04-16,1.525
77,2020-04-17,1.726
78,2020-04-20,31.0
79,2020-04-21,12.528
80,2020-04-22,10.825
81,2020-04-23,1.45
82,2020-04-24,1.5
83,2020-04-27,16.476
84,2020-04-28,7.131
85,2020-04-29,1.45
86,2020-04-30,1.775
87,2020-05-01,0.251
88,2020-05-04,4.85
89,2020-05-05,1.925
90,2020-05-06,1.175
91,2020-05-07,0.982
92,2020-05-08,0.68
93,2020-05-11,0.123
94,2020-05-12,0.825
95,2020-05-13,13.825
96,2020-05-14,0.133
97,2020-05-15,1.15
98,2020-05-18,0.578
99,2020-05-19,0.09
100,2020-05-20,9.726
101,2020-05-21,0.003
102,2020-05-22,0.001
103,2020-05-25,0.001
104,2020-05-26,0.001
105,2020-05-27,4.326
106,2020-05-28,0.0
107,2020-05-29,1.325
108,2020-06-01,0.0
109,2020-06-02,2.013
110,2020-06-03,0.013
111,2020-06-04,0.0
112,2020-06-05,0.0
113,2020-06-08,0.0
114,2020-06-09,1.252
115,2020-06-10,0.012
116,2020-06-11,0.375
117,2020-06-12,0.0
118,2020-06-15,0.003
119,2020-06-16,4.0
120,2020-06-17,0.001
121,2020-06-18,0.001
122,2020-06-19,0.001
123,2020-06-22,0.01
124,2020-06-23,0.011
125,2020-06-24,0.001
126,2020-06-25,0.001
127,2020-06-26,0.2
128,2020-06-29,0.25
129,2020-06-30,0.95
130,2020-07-01,0.002
131,2020-07-02,0.0
132,2020-07-03,0.0
133,2020-07-06,0.0
134,2020-07-07,0.003
135,2020-07-08,0.001
136,2020-07-09,0.0
137,2020-07-10,0.0
138,2020-07-13,0.001
139,2020-07-14,0.001
140,2020-07-15,0.001
141,2020-07-16,0.001
142,2020-07-17,0.0
143,2020-07-20,0.003
144,2020-07-21,0.0
145,2020-07-22,0.0
146,2020-07-23,0.0
147,2020-07-24,0.0
148,2020-07-27,0.0
149,2020-07-28,0.0
150,2020-07-29,0.001
151,2020-07-30,0.307
152,2020-07-31,0.15
153,2020-08-03,0.0
154,2020-08-04,0.005
155,2020-08-05,0.0
156,2020-08-06,0.0
157,2020-08-07,0.0
158,2020-08-10,0.008
159,2020-08-11,0.0
160,2020-08-12,0.103
161,2020-08-13,0.126
162,2020-08-14,0.001
163,2020-08-17,0.054
164,2020-08-18,0.002
165,2020-08-19,0.112
166,2020-08-20,0.15
167,2020-08-21,0.0
168,2020-08-24,0.0
169,2020-08-25,0.012
170,2020-08-26,0.009
171,2020-08-27,0.002
172,2020-08-28,0.0
173,2020-08-31,0.011
174,2020-09-01,0.008
175,2020-09-02,0.014
176,2020-09-03,0.0
177,2020-09-04,0.0
178,2020-09-07,0.0
179,2020-09-08,0.0
180,2020-09-09,0.001
181,2020-09-10,0.01
182,2020-09-11,0.0
183,2020-09-14,0.001
184,2020-09-15,0.002
185,2020-09-16,0.055
186,2020-09-17,0.001
187,2020-09-18,0.0
188,2020-09-21,0.054
189,2020-09-22,0.0
190,2020-09-23,0.001
191,2020-09-24,0.004
192,2020-09-25,0.0
193,2020-09-28,0.0
194,2020-09-29,1.301
195,2020-09-30,0.85
196,2020-10-01,0.001
197,2020-10-02,0.0
198,2020-10-05,0.0
199,2020-10-06,0.0
200,2020-10-07,0.011
201,2020-10-08,0.212
202,2020-10-09,0.0
203,2020-10-12,0.0
204,2020-10-13,0.0
205,2020-10-14,0.0
206,2020-10-15,0.001
207,2020-10-16,0.002
208,2020-10-19,0.004
209,2020-10-20,0.007
210,2020-10-21,0.0
211,2020-10-22,0.001
212,2020-10-23,0.0
213,2020-10-26,0.001
214,2020-10-27,0.0
215,2020-10-28,0.005
216,2020-10-29,0.014
217,2020-10-30,0.001
218,2020-11-02,0.0
219,2020-11-03,0.0
220,2020-11-04,0.0
221,2020-11-05,0.0
222,2020-11-06,0.0
223,2020-11-09,0.0
224,2020-11-10,0.0
225,2020-11-11,0.0
226,2020-11-12,0.0
227,2020-11-13,0.003
228,2020-11-16,0.013
229,2020-11-17,0.0
230,2020-11-18,0.103
231,2020-11-19,2.0
232,2020-11-20,0.0
233,2020-11-23,0.485
234,2020-11-24,0.001
235,2020-11-25,0.0
236,2020-11-26,0.0
237,2020-11-27,0.0
238,2020-11-30,0.006
239,2020-12-01,0.002
240,2020-12-02,0.001
241,2020-12-03,0.0
242,2020-12-04,0.0
243,2020-12-07,0.001
244,2020-12-08,0.001
245,2020-12-09,0.003
246,2020-12-10,0.001
247,2020-12-11,0.0
248,2020-12-14,0.1
249,2020-12-15,0.001
250,2020-12-16,0.026
251,2020-12-17,0.014
252,2020-12-18,0.032
253,2020-12-21,0.435
254,2020-12-22,0.406
255,2020-12-23,0.857
256,2020-12-24,0.01
257,2020-12-25,0.01
258,2020-12-28,0.901
259,2020-12-29,0.257
260,2020-12-30,0.652
261,2020-12-31,9.651
262,2021-01-01,9.651
263,2021-01-04,0.001
264,2021-01-05,0.005
265,2021-01-06,0.004
266,2021-01-07,0.001
267,2021-01-08,0.0
268,2021-01-11,0.0
269,2021-01-12,0.0
