,date,value
0,2020-01-01,
1,2020-01-02,1.74
2,2020-01-03,1.7
3,2020-01-06,1.68
4,2020-01-07,1.66
5,2020-01-08,1.64
6,2020-01-09,1.7
7,2020-01-10,1.61
8,2020-01-13,1.61
9,2020-01-14,1.65
10,2020-01-15,1.63
11,2020-01-16,1.67
12,2020-01-17,1.58
13,2020-01-20,1.58
14,2020-01-21,1.64
15,2020-01-22,1.64
16,2020-01-23,1.63
17,2020-01-24,1.61
18,2020-01-27,1.65
19,2020-01-28,1.58
20,2020-01-29,1.58
21,2020-01-30,1.63
22,2020-01-31,1.72
23,2020-02-03,1.65
24,2020-02-04,1.64
25,2020-02-05,1.65
26,2020-02-06,1.68
27,2020-02-07,1.66
28,2020-02-10,1.66
29,2020-02-11,1.59
30,2020-02-12,1.61
31,2020-02-13,1.59
32,2020-02-14,1.59
33,2020-02-17,1.59
34,2020-02-18,1.63
35,2020-02-19,1.6
36,2020-02-20,1.57
37,2020-02-21,1.58
38,2020-02-24,1.55
39,2020-02-25,1.55
40,2020-02-26,1.54
41,2020-02-27,1.49
42,2020-02-28,1.47
43,2020-03-02,1.31
44,2020-03-03,1.28
45,2020-03-04,1.03
46,2020-03-05,1.01
47,2020-03-06,0.86
48,2020-03-09,0.79
49,2020-03-10,0.89
50,2020-03-11,0.93
51,2020-03-12,1.19
52,2020-03-13,1.09
53,2020-03-16,1.35
54,2020-03-17,1.25
55,2020-03-18,1.25
56,2020-03-19,0.58
57,2020-03-20,2.12
58,2020-03-23,2.12
59,2020-03-24,2.35
60,2020-03-25,2.53
61,2020-03-26,2.44
62,2020-03-27,2.44
63,2020-03-30,2.44
64,2020-03-31,2.44
65,2020-04-01,2.44
66,2020-04-02,2.44
67,2020-04-03,2.44
68,2020-04-06,2.44
69,2020-04-07,2.44
70,2020-04-08,2.44
71,2020-04-09,2.44
72,2020-04-10,2.44
73,2020-04-13,2.44
74,2020-04-14,2.44
75,2020-04-15,2.44
76,2020-04-16,2.44
77,2020-04-17,2.44
78,2020-04-20,2.44
79,2020-04-21,2.44
80,2020-04-22,2.44
81,2020-04-23,2.44
82,2020-04-24,2.44
83,2020-04-27,2.44
84,2020-04-28,2.44
85,2020-04-29,2.44
86,2020-04-30,2.44
87,2020-05-01,2.44
88,2020-05-04,2.44
89,2020-05-05,2.44
90,2020-05-06,2.44
91,2020-05-07,0.21
92,2020-05-08,0.19
93,2020-05-11,0.26
94,2020-05-12,0.21
95,2020-05-13,0.06
96,2020-05-14,0.19
97,2020-05-15,0.04
98,2020-05-18,0.17
99,2020-05-19,0.17
100,2020-05-20,0.16
101,2020-05-21,0.23
102,2020-05-22,0.23
103,2020-05-25,0.23
104,2020-05-26,0.15
105,2020-05-27,0.17
106,2020-05-28,0.17
107,2020-05-29,0.17
108,2020-06-01,0.17
109,2020-06-02,0.23
110,2020-06-03,0.15
111,2020-06-04,0.15
112,2020-06-05,0.15
113,2020-06-08,0.15
114,2020-06-09,0.15
115,2020-06-10,0.15
116,2020-06-11,0.15
117,2020-06-12,0.15
118,2020-06-15,0.19
119,2020-06-16,0.19
120,2020-06-17,0.23
121,2020-06-18,0.19
122,2020-06-19,0.22
123,2020-06-22,0.22
124,2020-06-23,0.18
125,2020-06-24,0.21
126,2020-06-25,0.21
127,2020-06-26,0.22
128,2020-06-29,0.22
129,2020-06-30,0.22
130,2020-07-01,0.21
131,2020-07-02,0.22
132,2020-07-03,0.22
133,2020-07-06,0.16
134,2020-07-07,0.16
135,2020-07-08,0.17
136,2020-07-09,0.19
137,2020-07-10,0.17
138,2020-07-13,0.17
139,2020-07-14,0.18
140,2020-07-15,0.2
141,2020-07-16,0.2
142,2020-07-17,0.17
143,2020-07-20,0.18
144,2020-07-21,0.17
145,2020-07-22,0.16
146,2020-07-23,0.18
147,2020-07-24,0.13
148,2020-07-27,0.13
149,2020-07-28,0.13
150,2020-07-29,0.16
151,2020-07-30,0.16
152,2020-07-31,0.16
153,2020-08-03,0.15
154,2020-08-04,0.15
155,2020-08-05,0.15
156,2020-08-06,0.15
157,2020-08-07,0.14
158,2020-08-10,0.15
159,2020-08-11,0.18
160,2020-08-12,0.14
161,2020-08-13,0.14
162,2020-08-14,0.16
163,2020-08-17,0.13
164,2020-08-18,0.13
165,2020-08-19,0.16
