,date,value
0,2020-01-01,.
1,2020-01-02,1.88
2,2020-01-03,1.85
3,2020-01-06,1.81
4,2020-01-07,1.81
5,2020-01-08,1.82
6,2020-01-09,1.81
7,2020-01-10,1.85
8,2020-01-13,1.84
9,2020-01-14,1.84
10,2020-01-15,1.83
11,2020-01-16,1.8
12,2020-01-17,1.82
13,2020-01-20,.
14,2020-01-21,1.82
15,2020-01-22,1.8
16,2020-01-23,1.76
17,2020-01-24,1.74
18,2020-01-27,1.7
19,2020-01-28,1.71
20,2020-01-29,1.7
21,2020-01-30,1.69
22,2020-01-31,1.7
23,2020-02-03,1.7
24,2020-02-04,1.7
25,2020-02-05,1.71
26,2020-02-06,1.73
27,2020-02-07,1.71
28,2020-02-10,1.7
29,2020-02-11,1.7
30,2020-02-12,1.68
31,2020-02-13,1.69
32,2020-02-14,1.68
33,2020-02-17,.
34,2020-02-18,1.66
35,2020-02-19,1.65
36,2020-02-20,1.63
37,2020-02-21,1.62
38,2020-02-24,1.61
39,2020-02-25,1.54
40,2020-02-26,1.58
41,2020-02-27,1.58
42,2020-02-28,1.49
43,2020-03-02,1.5
44,2020-03-03,1.56
45,2020-03-04,1.58
46,2020-03-05,1.52
47,2020-03-06,1.48
48,2020-03-09,1.18
49,2020-03-10,1.23
50,2020-03-11,1.23
51,2020-03-12,1.21
52,2020-03-13,1.27
53,2020-03-16,1.16
54,2020-03-17,1.1
55,2020-03-18,1.1
56,2020-03-19,0.86
57,2020-03-20,1.19
58,2020-03-23,1.23
59,2020-03-24,1.39
60,2020-03-25,1.45
61,2020-03-26,1.42
62,2020-03-27,1.34
63,2020-03-30,1.33
64,2020-03-31,1.25
65,2020-04-01,1.26
66,2020-04-02,1.33
67,2020-04-03,1.38
68,2020-04-06,1.43
69,2020-04-07,1.48
70,2020-04-08,1.51
71,2020-04-09,1.56
72,2020-04-10,.
73,2020-04-13,1.58
74,2020-04-14,1.64
75,2020-04-15,1.51
76,2020-04-16,1.36
77,2020-04-17,1.35
78,2020-04-20,1.32
79,2020-04-21,1.34
80,2020-04-22,1.43
81,2020-04-23,1.43
82,2020-04-24,1.5
83,2020-04-27,1.56
84,2020-04-28,1.52
85,2020-04-29,1.5
86,2020-04-30,1.42
87,2020-05-01,1.44
88,2020-05-04,1.45
89,2020-05-05,1.49
90,2020-05-06,1.49
91,2020-05-07,1.46
92,2020-05-08,1.5
93,2020-05-11,1.51
94,2020-05-12,1.46
95,2020-05-13,1.43
96,2020-05-14,1.41
97,2020-05-15,1.43
98,2020-05-18,1.5
99,2020-05-19,1.48
100,2020-05-20,1.49
101,2020-05-21,1.47
102,2020-05-22,1.44
103,2020-05-25,.
104,2020-05-26,1.44
105,2020-05-27,1.46
106,2020-05-28,1.5
107,2020-05-29,1.47
108,2020-06-01,1.52
109,2020-06-02,1.52
110,2020-06-03,1.54
111,2020-06-04,1.56
112,2020-06-05,1.59
113,2020-06-08,1.58
114,2020-06-09,1.54
115,2020-06-10,1.54
116,2020-06-11,1.47
117,2020-06-12,1.47
118,2020-06-15,1.48
119,2020-06-16,1.52
120,2020-06-17,1.51
121,2020-06-18,1.44
122,2020-06-19,1.54
123,2020-06-22,1.57
124,2020-06-23,1.62
125,2020-06-24,1.56
126,2020-06-25,1.55
127,2020-06-26,1.53
128,2020-06-29,1.54
129,2020-06-30,1.52
130,2020-07-01,1.57
131,2020-07-02,1.61
132,2020-07-03,.
133,2020-07-06,1.62
134,2020-07-07,1.6
135,2020-07-08,1.59
136,2020-07-09,1.56
137,2020-07-10,1.57
138,2020-07-13,1.57
139,2020-07-14,1.55
140,2020-07-15,1.54
141,2020-07-16,1.52
142,2020-07-17,1.57
143,2020-07-20,1.55
144,2020-07-21,1.56
145,2020-07-22,1.56
146,2020-07-23,1.61
147,2020-07-24,1.67
148,2020-07-27,1.66
149,2020-07-28,1.66
150,2020-07-29,1.68
151,2020-07-30,1.67
152,2020-07-31,1.7
153,2020-08-03,1.7
154,2020-08-04,1.69
155,2020-08-05,1.7
156,2020-08-06,1.73
157,2020-08-07,1.72
158,2020-08-10,1.73
159,2020-08-11,1.76
160,2020-08-12,1.78
161,2020-08-13,1.78
162,2020-08-14,1.77
163,2020-08-17,1.78
164,2020-08-18,1.81
165,2020-08-19,1.79
166,2020-08-20,1.76
167,2020-08-21,1.76
168,2020-08-24,1.77
