,date,value
0,2020-01-01,1308.0
1,2020-02-01,1237.0
2,2020-03-01,1237.0
3,2020-04-01,1181.0
4,2020-05-01,1174.0
5,2020-06-01,1229.0
6,2020-07-01,1309.0
7,2020-08-01,1263.0
8,2020-09-01,1437.0
9,2020-10-01,1395.0
10,2020-11-01,1261.0
11,2020-12-01,1374.0
12,2021-01-01,1379.0
13,2021-02-01,1299.0
14,2021-03-01,1435.0
15,2021-04-01,1403.0
16,2021-05-01,1337.0
17,2021-06-01,1280.0
18,2021-07-01,1365.0
19,2021-08-01,1329.0
20,2021-09-01,1232.0
21,2021-10-01,1300.0
22,2021-11-01,1397.0
23,2021-12-01,1331.0
24,2022-01-01,1285.0
25,2022-02-01,1342.0
26,2022-03-01,1328.0
27,2022-04-01,1344.0
28,2022-05-01,1427.0
29,2022-06-01,1369.0
30,2022-07-01,1421.0
31,2022-08-01,1367.0
32,2022-09-01,1433.0
33,2022-10-01,1398.0
34,2022-11-01,1552.0
35,2022-12-01,1396.0
36,2023-01-01,1390.0
37,2023-02-01,1536.0
38,2023-03-01,1495.0
39,2023-04-01,1425.0
40,2023-05-01,1503.0
41,2023-06-01,1464.0
42,2023-07-01,1352.0
43,2023-08-01,1363.0
44,2023-09-01,1471.0
45,2023-10-01,1394.0
46,2023-11-01,1460.0
47,2023-12-01,1575.0
48,2024-01-01,1500.0
49,2024-02-01,1674.0
50,2024-03-01,1487.0
51,2024-04-01,1662.0
52,2024-05-01,1561.0
53,2024-06-01,1731.0
54,2024-07-01,1635.0
55,2024-08-01,1755.0
56,2024-09-01,1671.0
57,2024-10-01,1636.0
58,2024-11-01,1618.0
59,2024-12-01,1527.0
60,2025-01-01,1651.0
61,2025-02-01,1565.0
62,2025-03-01,1566.0
63,2025-04-01,1475.0
64,2025-05-01,1540.0
65,2025-06-01,1314.0
