,date,value
0,2020-01-01,1495.0
1,2020-02-01,1455.0
2,2020-03-01,1346.0
3,2020-04-01,1076.0
4,2020-05-01,1250.0
5,2020-06-01,1334.0
6,2020-07-01,1546.0
7,2020-08-01,1533.0
8,2020-09-01,1636.0
9,2020-10-01,1613.0
10,2020-11-01,1703.0
11,2020-12-01,1752.0
12,2021-01-01,1855.0
13,2021-02-01,1711.0
14,2021-03-01,1756.0
15,2021-04-01,1721.0
16,2021-05-01,1703.0
17,2021-06-01,1654.0
18,2021-07-01,1658.0
19,2021-08-01,1736.0
20,2021-09-01,1640.0
21,2021-10-01,1707.0
22,2021-11-01,1765.0
23,2021-12-01,1919.0
24,2022-01-01,1920.0
25,2022-02-01,1857.0
26,2022-03-01,1868.0
27,2022-04-01,1859.0
28,2022-05-01,1704.0
29,2022-06-01,1737.0
30,2022-07-01,1703.0
31,2022-08-01,1557.0
32,2022-09-01,1600.0
33,2022-10-01,1594.0
34,2022-11-01,1401.0
35,2022-12-01,1410.0
36,2023-01-01,1410.0
37,2023-02-01,1618.0
38,2023-03-01,1480.0
39,2023-04-01,1474.0
40,2023-05-01,1575.0
41,2023-06-01,1464.0
42,2023-07-01,1522.0
43,2023-08-01,1561.0
44,2023-09-01,1537.0
45,2023-10-01,1528.0
46,2023-11-01,1503.0
47,2023-12-01,1519.0
48,2024-01-01,1545.0
49,2024-02-01,1577.0
50,2024-03-01,1476.0
51,2024-04-01,1459.0
52,2024-05-01,1407.0
53,2024-06-01,1461.0
54,2024-07-01,1436.0
55,2024-08-01,1476.0
56,2024-09-01,1434.0
57,2024-10-01,1428.0
58,2024-11-01,1508.0
59,2024-12-01,1480.0
60,2025-01-01,1460.0
61,2025-02-01,1454.0
62,2025-03-01,1481.0
63,2025-04-01,1422.0
64,2025-05-01,1394.0
65,2025-06-01,1393.0
