,date,value
0,2020-01-01,689
1,2020-02-01,707
2,2020-03-01,626
3,2020-04-01,576
4,2020-05-01,707
5,2020-06-01,901
6,2020-07-01,981
7,2020-08-01,1016.0
8,2020-09-01,979
9,2020-10-01,1031.0
10,2020-11-01,877
11,2020-12-01,874
12,2021-01-01,898
13,2021-02-01,778
14,2021-03-01,871
15,2021-04-01,828
16,2021-05-01,725
17,2021-06-01,695
18,2021-07-01,726
19,2021-08-01,686
20,2021-09-01,728
21,2021-10-01,684
22,2021-11-01,789
23,2021-12-01,825
24,2022-01-01,807
25,2022-02-01,788
26,2022-03-01,720
27,2022-04-01,624
28,2022-05-01,644
29,2022-06-01,549
30,2022-07-01,519
31,2022-08-01,638
32,2022-09-01,552
33,2022-10-01,579
34,2022-11-01,597
35,2022-12-01,621
36,2023-01-01,650
37,2023-02-01,636
38,2023-03-01,651
39,2023-04-01,665
40,2023-05-01,739
41,2023-06-01,674
42,2023-07-01,702
43,2023-08-01,645
44,2023-09-01,681
45,2023-10-01,681
46,2023-11-01,610
47,2023-12-01,643
48,2024-01-01,681
49,2024-02-01,658
50,2024-03-01,692
51,2024-04-01,719
52,2024-05-01,665
53,2024-06-01,671
54,2024-07-01,710
55,2024-08-01,693
56,2024-09-01,717
57,2024-10-01,621
58,2024-11-01,675
59,2024-12-01,718
60,2025-01-01,662
61,2025-02-01,642
62,2025-03-01,660
63,2025-04-01,705
64,2025-05-01,623
65,2025-06-01,627
