,date,value
0,2020-01-01,1581.0
1,2020-02-01,1549.0
2,2020-03-01,1266.0
3,2020-04-01,936.0
4,2020-05-01,1039.0
5,2020-06-01,1266.0
6,2020-07-01,1526.0
7,2020-08-01,1396.0
8,2020-09-01,1473.0
9,2020-10-01,1543.0
10,2020-11-01,1543.0
11,2020-12-01,1614.0
12,2021-01-01,1630.0
13,2021-02-01,1404.0
14,2021-03-01,1696.0
15,2021-04-01,1495.0
16,2021-05-01,1589.0
17,2021-06-01,1650.0
18,2021-07-01,1597.0
19,2021-08-01,1594.0
20,2021-09-01,1577.0
21,2021-10-01,1579.0
22,2021-11-01,1705.0
23,2021-12-01,1722.0
24,2022-01-01,1702.0
25,2022-02-01,1735.0
26,2022-03-01,1712.0
27,2022-04-01,1820.0
28,2022-05-01,1531.0
29,2022-06-01,1551.0
30,2022-07-01,1381.0
31,2022-08-01,1531.0
32,2022-09-01,1488.0
33,2022-10-01,1435.0
34,2022-11-01,1424.0
35,2022-12-01,1308.0
36,2023-01-01,1361.0
37,2023-02-01,1399.0
38,2023-03-01,1377.0
39,2023-04-01,1354.0
40,2023-05-01,1584.0
41,2023-06-01,1421.0
42,2023-07-01,1460.0
43,2023-08-01,1317.0
44,2023-09-01,1371.0
45,2023-10-01,1368.0
46,2023-11-01,1514.0
47,2023-12-01,1521.0
48,2024-01-01,1381.0
49,2024-02-01,1552.0
50,2024-03-01,1312.0
51,2024-04-01,1385.0
52,2024-05-01,1316.0
53,2024-06-01,1327.0
54,2024-07-01,1265.0
55,2024-08-01,1391.0
56,2024-09-01,1357.0
57,2024-10-01,1352.0
58,2024-11-01,1295.0
59,2024-12-01,1514.0
60,2025-01-01,1358.0
61,2025-02-01,1490.0
62,2025-03-01,1355.0
63,2025-04-01,1398.0
64,2025-05-01,1263.0
65,2025-06-01,1321.0
