,date,value
0,2020-01-04,224000
1,2020-01-11,207000
2,2020-01-18,221000
3,2020-01-25,210000
4,2020-02-01,207000
5,2020-02-08,202000
6,2020-02-15,209000
7,2020-02-22,218000
8,2020-02-29,215000
9,2020-03-07,208000
10,2020-03-14,273000
11,2020-03-21,2914000
12,2020-03-28,5946000
13,2020-04-04,6137000
14,2020-04-11,4869000
15,2020-04-18,4201000
16,2020-04-25,3446000
17,2020-05-02,2796000
18,2020-05-09,2335000
19,2020-05-16,2176000
20,2020-05-23,1921000
21,2020-05-30,1639000
22,2020-06-06,1575000
23,2020-06-13,1473000
24,2020-06-20,1467000
25,2020-06-27,1446000
26,2020-07-04,1413000
27,2020-07-11,1468000
28,2020-07-18,1393000
29,2020-07-25,1260000
30,2020-08-01,1044000
31,2020-08-08,884000
32,2020-08-15,927000
33,2020-08-22,876000
34,2020-08-29,881000
35,2020-09-05,892000
36,2020-09-12,861000
37,2020-09-19,859000
38,2020-09-26,795000
39,2020-10-03,785000
40,2020-10-10,839000
41,2020-10-17,804000
42,2020-10-24,776000
43,2020-10-31,773000
44,2020-11-07,737000
45,2020-11-14,738000
46,2020-11-21,793000
47,2020-11-28,737000
48,2020-12-05,873000
49,2020-12-12,886000
50,2020-12-19,815000
51,2020-12-26,773000
52,2021-01-02,803000
53,2021-01-09,890000
54,2021-01-16,844000
55,2021-01-23,799000
56,2021-01-30,803000
57,2021-02-06,812000
58,2021-02-13,802000
59,2021-02-20,702000
60,2021-02-27,704000
61,2021-03-06,693000
62,2021-03-13,699000
63,2021-03-20,627000
64,2021-03-27,658000
65,2021-04-03,645000
66,2021-04-10,571000
67,2021-04-17,566000
68,2021-04-24,574000
69,2021-05-01,517000
70,2021-05-08,494000
71,2021-05-15,467000
72,2021-05-22,441000
73,2021-05-29,427000
74,2021-06-05,420000
75,2021-06-12,428000
76,2021-06-19,422000
77,2021-06-26,369000
78,2021-07-03,371000
79,2021-07-10,332000
80,2021-07-17,387000
81,2021-07-24,380000
82,2021-07-31,380000
83,2021-08-07,361000
84,2021-08-14,368000
85,2021-08-21,358000
86,2021-08-28,353000
87,2021-09-04,337000
88,2021-09-11,344000
89,2021-09-18,367000
90,2021-09-25,374000
91,2021-10-02,314000
92,2021-10-09,290000
93,2021-10-16,290000
94,2021-10-23,268000
95,2021-10-30,262000
96,2021-11-06,251000
97,2021-11-13,250000
98,2021-11-20,223000
99,2021-11-27,222000
100,2021-12-04,207000
101,2021-12-11,227000
102,2021-12-18,215000
103,2021-12-25,216000
104,2022-01-01,227000
105,2022-01-08,247000
106,2022-01-15,245000
107,2022-01-22,238000
108,2022-01-29,231000
109,2022-02-05,210000
110,2022-02-12,234000
111,2022-02-19,225000
112,2022-02-26,209000
113,2022-03-05,222000
114,2022-03-12,217000
115,2022-03-19,207000
116,2022-03-26,214000
117,2022-04-02,215000
118,2022-04-09,213000
119,2022-04-16,209000
120,2022-04-23,210000
121,2022-04-30,219000
122,2022-05-07,204000
123,2022-05-14,225000
124,2022-05-21,211000
125,2022-05-28,200000
126,2022-06-04,214000
127,2022-06-11,213000
128,2022-06-18,215000
129,2022-06-25,212000
130,2022-07-02,215000
131,2022-07-09,212000
132,2022-07-16,216000
133,2022-07-23,220000
134,2022-07-30,228000
135,2022-08-06,221000
136,2022-08-13,220000
137,2022-08-20,215000
138,2022-08-27,210000
139,2022-09-03,204000
140,2022-09-10,197000
141,2022-09-17,201000
142,2022-09-24,189000
143,2022-10-01,204000
144,2022-10-08,206000
145,2022-10-15,199000
146,2022-10-22,201000
147,2022-10-29,202000
148,2022-11-05,204000
149,2022-11-12,210000
150,2022-11-19,220000
151,2022-11-26,209000
152,2022-12-03,209000
153,2022-12-10,210000
154,2022-12-17,213000
155,2022-12-24,204000
156,2022-12-31,204000
157,2023-01-07,208000
158,2023-01-14,203000
159,2023-01-21,203000
160,2023-01-28,200000
161,2023-02-04,215000
162,2023-02-11,219000
163,2023-02-18,217000
164,2023-02-25,209000
165,2023-03-04,229000
166,2023-03-11,222000
167,2023-03-18,230000
168,2023-03-25,234000
169,2023-04-01,217000
170,2023-04-08,219000
171,2023-04-15,223000
172,2023-04-22,210000
173,2023-04-29,214000
174,2023-05-06,223000
175,2023-05-13,225000
176,2023-05-20,227000
177,2023-05-27,230000
178,2023-06-03,253000
179,2023-06-10,258000
180,2023-06-17,260000
181,2023-06-24,236000
182,2023-07-01,248000
183,2023-07-08,229000
184,2023-07-15,228000
185,2023-07-22,231000
186,2023-07-29,238000
187,2023-08-05,258000
188,2023-08-12,248000
189,2023-08-19,240000
190,2023-08-26,234000
191,2023-09-02,227000
192,2023-09-09,227000
193,2023-09-16,210000
194,2023-09-23,215000
195,2023-09-30,216000
196,2023-10-07,210000
197,2023-10-14,200000
198,2023-10-21,214000
199,2023-10-28,217000
200,2023-11-04,216000
201,2023-11-11,229000
202,2023-11-18,213000
203,2023-11-25,214000
204,2023-12-02,216000
205,2023-12-09,204000
206,2023-12-16,209000
207,2023-12-23,210000
208,2023-12-30,198000
209,2024-01-06,199000
210,2024-01-13,193000
211,2024-01-20,223000
212,2024-01-27,225000
213,2024-02-03,214000
214,2024-02-10,212000
215,2024-02-17,203000
216,2024-02-24,214000
217,2024-03-02,212000
218,2024-03-09,213000
219,2024-03-16,213000
220,2024-03-23,214000
221,2024-03-30,223000
222,2024-04-06,212000
223,2024-04-13,211000
224,2024-04-20,209000
225,2024-04-27,209000
226,2024-05-04,229000
227,2024-05-11,222000
228,2024-05-18,216000
229,2024-05-25,221000
230,2024-06-01,229000
231,2024-06-08,241000
232,2024-06-15,237000
233,2024-06-22,233000
234,2024-06-29,238000
235,2024-07-06,222000
236,2024-07-13,240000
237,2024-07-20,236000
238,2024-07-27,248000
239,2024-08-03,234000
240,2024-08-10,228000
241,2024-08-17,232000
242,2024-08-24,232000
243,2024-08-31,228000
244,2024-09-07,230000
245,2024-09-14,222000
246,2024-09-21,221000
247,2024-09-28,227000
248,2024-10-05,259000
249,2024-10-12,240000
250,2024-10-19,228000
251,2024-10-26,218000
252,2024-11-02,221000
253,2024-11-09,219000
254,2024-11-16,216000
255,2024-11-23,216000
256,2024-11-30,225000
257,2024-12-07,239000
258,2024-12-14,222000
259,2024-12-21,219000
260,2024-12-28,209000
261,2025-01-04,205000
262,2025-01-11,217000
263,2025-01-18,222000
264,2025-01-25,210000
265,2025-02-01,222000
266,2025-02-08,215000
267,2025-02-15,224000
268,2025-02-22,243000
269,2025-03-01,224000
270,2025-03-08,223000
271,2025-03-15,225000
272,2025-03-22,225000
273,2025-03-29,219000
274,2025-04-05,224000
275,2025-04-12,216000
276,2025-04-19,223000
277,2025-04-26,241000
278,2025-05-03,229000
279,2025-05-10,228000
280,2025-05-17,226000
281,2025-05-24,239000
282,2025-05-31,248000
283,2025-06-07,250000
284,2025-06-14,246000
285,2025-06-21,237000
286,2025-06-28,232000
287,2025-07-05,228000
288,2025-07-12,221000
289,2025-07-19,217000
