TimePeriod,Manufacturing and trade industries
2020M01,2273881
2020M02,2257603
2020M03,2226829
2020M04,2196241
2020M05,2165768
2020M06,2153582
2020M07,2171985
2020M08,2193789
2020M09,2219711
2020M10,2247851
2020M11,2269691
2020M12,2298723
2021M01,2335366
2021M02,2371999
2021M03,2390620
2021M04,2417055
2021M05,2459609
2021M06,2487656
2021M07,2516663
2021M08,2537031
2021M09,2564365
2021M10,2613260
2021M11,2654039
2021M12,2704062
2022M01,2739967
2022M02,2793980
2022M03,2863154
2022M04,2904409
2022M05,2956468
2022M06,2979137
2022M07,2967842
2022M08,2963529
2022M09,2954054
2022M10,2951649
2022M11,2945193
2022M12,2936778
2023M01,2933331
2023M02,2924899
2023M03,2921984
2023M04,2919300
2023M05,2915058
2023M06,2908327
2023M07,2908262
2023M08,2919858
2023M09,2928320
2023M10,2919562
2023M11,2913964
2023M12,2923338
2024M01,2934416
2024M02,2940798
2024M03,2941412
2024M04,2941946
2024M05,2953937
2024M06,2952843
2024M07,2960426
2024M08,2963821
2024M09,2968892
2024M10,2976434
2024M11,2990139
2024M12,2982832
2025M01,3001006
2025M02,3016062
2025M03,3042257
2025M04,3041156
