TimePeriod,Manufacturing and trade industries
2020M01,1.58
2020M02,1.571
2020M03,1.641
2020M04,1.838
2020M05,1.676
2020M06,1.545
2020M07,1.509
2020M08,1.511
2020M09,1.511
2020M10,1.507
2020M11,1.51
2020M12,1.501
2021M01,1.474
2021M02,1.519
2021M03,1.456
2021M04,1.446
2021M05,1.471
2021M06,1.461
2021M07,1.457
2021M08,1.465
2021M09,1.463
2021M10,1.462
2021M11,1.465
2021M12,1.487
2022M01,1.476
2022M02,1.497
2022M03,1.518
2022M04,1.522
2022M05,1.553
2022M06,1.565
2022M07,1.56
2022M08,1.547
2022M09,1.552
2022M10,1.553
2022M11,1.572
2022M12,1.561
2023M01,1.543
2023M02,1.553
2023M03,1.566
2023M04,1.567
2023M05,1.551
2023M06,1.555
2023M07,1.541
2023M08,1.548
2023M09,1.543
2023M10,1.542
2023M11,1.532
2023M12,1.527
2024M01,1.541
2024M02,1.538
2024M03,1.539
2024M04,1.548
2024M05,1.544
2024M06,1.539
2024M07,1.532
2024M08,1.535
2024M09,1.525
2024M10,1.529
2024M11,1.525
2024M12,1.507
2025M01,1.527
2025M02,1.521
2025M03,1.511
2025M04,1.517
