,date,value
0,2020-01-01,7124
1,2020-02-01,6966
2,2020-03-01,5894
3,2020-04-01,4606
4,2020-05-01,5612
5,2020-06-01,6129
6,2020-07-01,6530
7,2020-08-01,6429
8,2020-09-01,6511
9,2020-10-01,6798
10,2020-11-01,6820
11,2020-12-01,6773
12,2021-01-01,7204
13,2021-02-01,7752
14,2021-03-01,8470
15,2021-04-01,9356
16,2021-05-01,9905
17,2021-06-01,10298
18,2021-07-01,11049
19,2021-08-01,10956
20,2021-09-01,10879
21,2021-10-01,11341
22,2021-11-01,11119
23,2021-12-01,11417
24,2022-01-01,11238
25,2022-02-01,11661
26,2022-03-01,12134
27,2022-04-01,11881
28,2022-05-01,11483
29,2022-06-01,11256
30,2022-07-01,11610
31,2022-08-01,10148
32,2022-09-01,10812
33,2022-10-01,10488
34,2022-11-01,10619
35,2022-12-01,10876
36,2023-01-01,10393
37,2023-02-01,9846
38,2023-03-01,9572
39,2023-04-01,9992
40,2023-05-01,9310
41,2023-06-01,9191
42,2023-07-01,8606
43,2023-08-01,9287
44,2023-09-01,9279
45,2023-10-01,8550
46,2023-11-01,8663
47,2023-12-01,8585
48,2024-01-01,8468
49,2024-02-01,8445
50,2024-03-01,8093
51,2024-04-01,7619
52,2024-05-01,7901
53,2024-06-01,7412
54,2024-07-01,7504
55,2024-08-01,7649
56,2024-09-01,7103
57,2024-10-01,7615
58,2024-11-01,8031
59,2024-12-01,7508
60,2025-01-01,7762
61,2025-02-01,7480
62,2025-03-01,7200
63,2025-04-01,7395
64,2025-05-01,7769
