,date,value
0,Jun_2020,103.97500000000001
1,Jul_2020,105.625
2,Aug_2020,106.525
3,Sep_2020,106.97500000000001
4,Oct_2020,107.5
5,Nov_2020,108.025
6,Dec_2020,108.7
7,Jan_2021,109.375
8,Feb_2021,109.45
9,Mar_2021,110.425
10,Apr_2021,111.475
11,May_2021,112.15
12,Jun_2021,113.05
13,Jul_2021,114.1
14,Aug_2021,114.775
15,Sep_2021,114.775
16,Oct_2021,115.525
17,Nov_2021,116.2
18,Dec_2021,117.1
19,Jan_2022,116.5
20,Feb_2022,116.875
21,Mar_2022,116.875
22,Apr_2022,116.2
23,May_2022,115.225
24,Jun_2022,114.475
25,Jul_2022,113.8
26,Aug_2022,113.5
27,Sep_2022,112.975
28,Oct_2022,112.0
29,Nov_2022,111.025
30,Dec_2022,110.275
31,Jan_2023,109.75
32,Feb_2023,109.22500000000001
33,Mar_2023,107.95
34,Apr_2023,107.05
35,May_2023,106.375
36,Jun_2023,105.7
37,Jul_2023,105.47500000000001
38,Aug_2023,105.025
39,Sep_2023,104.5
40,Oct_2023,103.525
41,Nov_2023,103.15
42,Dec_2023,102.925
43,Jan_2024,102.4
44,Feb_2024,102.55
45,Mar_2024,102.175
46,Apr_2024,101.575
47,May_2024,101.125
48,Jun_2024,100.9
49,Jul_2024,100.45
50,Aug_2024,100.15
51,Sep_2024,99.7
52,Oct_2024,101.2
53,Nov_2024,101.575
54,Dec_2024,101.5
55,Jan_2025,101.425
56,Feb_2025,101.125
57,Mar_2025,100.45
58,Apr_2025,99.10000000000001
59,May_2025,99.10000000000001
60,Jun_2025,98.8
