,year,period,value
0,2025,M07,24.9
1,2025,M06,23.3
2,2025,M05,20.4
3,2025,M04,23.5
4,2025,M03,21.3
5,2025,M02,20.9
6,2025,M01,21.1
7,2024,M12,22.4
8,2024,M11,23.1
9,2024,M10,22.9
10,2024,M09,23.5
11,2024,M08,21.5
12,2024,M07,21.6
13,2024,M06,22.4
14,2024,M05,20.6
15,2024,M04,19.6
16,2024,M03,19.5
17,2024,M02,18.8
18,2024,M01,20.7
19,2023,M12,20.1
20,2023,M11,18.6
21,2023,M10,20.5
22,2023,M09,19.4
23,2023,M08,21.3
24,2023,M07,20.3
25,2023,M06,18.9
26,2023,M05,19.0
27,2023,M04,19.1
28,2023,M03,18.1
29,2023,M02,17.6
30,2023,M01,18.9
31,2022,M12,18.6
32,2022,M11,20.9
33,2022,M10,20.3
34,2022,M09,19.4
35,2022,M08,20.3
36,2022,M07,19.4
37,2022,M06,23.0
38,2022,M05,22.2
39,2022,M04,23.5
40,2022,M03,23.0
41,2022,M02,26.7
42,2022,M01,25.2
43,2021,M12,31.3
44,2021,M11,32.4
45,2021,M10,32.5
46,2021,M09,35.3
47,2021,M08,38.1
48,2021,M07,39.8
49,2021,M06,42.0
50,2021,M05,40.4
51,2021,M04,42.0
52,2021,M03,42.9
53,2021,M02,41.7
54,2021,M01,39.8
55,2020,M12,36.7
56,2020,M11,36.5
57,2020,M10,32.5
58,2020,M09,19.3
59,2020,M08,12.0
60,2020,M07,9.5
61,2020,M06,7.7
62,2020,M05,5.5
63,2020,M04,4.0
64,2020,M03,15.9
65,2020,M02,19.2
66,2020,M01,20.0
