,year,period,value
0,2025,M07,28.96
1,2025,M06,28.96
2,2025,M05,28.87
3,2025,M04,28.78
4,2025,M03,28.88
5,2025,M02,28.64
6,2025,M01,28.58
7,2024,M12,28.33
8,2024,M11,28.22
9,2024,M10,28.07
10,2024,M09,28.01
11,2024,M08,27.89
12,2024,M07,27.90
13,2024,M06,27.74
14,2024,M05,27.63
15,2024,M04,27.51
16,2024,M03,27.45
17,2024,M02,27.35
18,2024,M01,27.20
19,2023,M12,27.14
20,2023,M11,26.83
21,2023,M10,26.64
22,2023,M09,26.61
23,2023,M08,26.48
24,2023,M07,26.43
25,2023,M06,26.35
26,2023,M05,26.12
27,2023,M04,26.01
28,2023,M03,25.93
29,2023,M02,25.81
30,2023,M01,25.84
31,2022,M12,25.67
32,2022,M11,25.57
33,2022,M10,25.39
34,2022,M09,25.24
35,2022,M08,25.15
36,2022,M07,25.06
37,2022,M06,24.94
38,2022,M05,24.97
39,2022,M04,24.87
40,2022,M03,24.74
41,2022,M02,24.58
42,2022,M01,24.52
43,2021,M12,24.38
44,2021,M11,24.22
45,2021,M10,24.16
46,2021,M09,24.11
47,2021,M08,24.05
48,2021,M07,23.88
49,2021,M06,23.77
50,2021,M05,23.63
51,2021,M04,23.47
52,2021,M03,23.38
53,2021,M02,23.39
54,2021,M01,23.25
55,2020,M12,23.16
56,2020,M11,23.11
57,2020,M10,22.98
58,2020,M09,22.98
59,2020,M08,22.86
60,2020,M07,22.81
61,2020,M06,22.60
62,2020,M05,22.76
63,2020,M04,22.72
64,2020,M03,22.59
65,2020,M02,22.51
66,2020,M01,22.45
