,date,value
0,2020-01-01,99.8
1,2020-02-01,101
2,2020-03-01,89.1
3,2020-04-01,71.8
4,2020-05-01,72.3
5,2020-06-01,78.1
6,2020-07-01,72.5
7,2020-08-01,74.1
8,2020-09-01,80.4
9,2020-10-01,81.8
10,2020-11-01,76.9
11,2020-12-01,80.7
12,2021-01-01,79
13,2021-02-01,76.8
14,2021-03-01,84.9
15,2021-04-01,88.3
16,2021-05-01,82.9
17,2021-06-01,85.5
18,2021-07-01,81.2
19,2021-08-01,70.3
20,2021-09-01,72.8
21,2021-10-01,71.7
22,2021-11-01,67.4
23,2021-12-01,70.6
24,2022-01-01,67.2
25,2022-02-01,62.8
26,2022-03-01,59.4
27,2022-04-01,65.2
28,2022-05-01,58.4
29,2022-06-01,50
30,2022-07-01,51.5
31,2022-08-01,58.2
32,2022-09-01,58.6
33,2022-10-01,59.9
34,2022-11-01,56.7
35,2022-12-01,59.8
36,2023-01-01,64.9
37,2023-02-01,66.9
38,2023-03-01,62
39,2023-04-01,63.7
40,2023-05-01,59
41,2023-06-01,64.2
42,2023-07-01,71.5
43,2023-08-01,69.4
44,2023-09-01,67.8
45,2023-10-01,63.8
46,2023-11-01,61.3
47,2023-12-01,69.7
48,2024-01-01,79
49,2024-02-01,76.9
50,2024-03-01,79.4
51,2024-04-01,77.2
52,2024-05-01,69.1
53,2024-06-01,68.2
54,2024-07-01,66.4
55,2024-08-01,67.9
56,2024-09-01,70.1
57,2024-10-01,70.5
58,2024-11-01,71.8
59,2024-12-01,74
60,2025-01-01,71.7
61,2025-02-01,64.7
62,2025-03-01,57
63,2025-04-01,52.2
64,2025-05-01,52.2
