,date,value
0,2020-01-01,2.5
1,2020-02-01,2.4
2,2020-03-01,2.2
3,2020-04-01,2.1
4,2020-05-01,3.2
5,2020-06-01,3
6,2020-07-01,3
7,2020-08-01,3.1
8,2020-09-01,2.6
9,2020-10-01,2.6
10,2020-11-01,2.8
11,2020-12-01,2.5
12,2021-01-01,3
13,2021-02-01,3.3
14,2021-03-01,3.1
15,2021-04-01,3.4
16,2021-05-01,4.6
17,2021-06-01,4.2
18,2021-07-01,4.7
19,2021-08-01,4.6
20,2021-09-01,4.6
21,2021-10-01,4.8
22,2021-11-01,4.9
23,2021-12-01,4.8
24,2022-01-01,4.9
25,2022-02-01,4.9
26,2022-03-01,5.4
27,2022-04-01,5.4
28,2022-05-01,5.3
29,2022-06-01,5.3
30,2022-07-01,5.2
31,2022-08-01,4.8
32,2022-09-01,4.7
33,2022-10-01,5
34,2022-11-01,5
35,2022-12-01,4.3
36,2023-01-01,3.9
37,2023-02-01,4.2
38,2023-03-01,3.6
39,2023-04-01,4.7
40,2023-05-01,4.2
41,2023-06-01,3.3
42,2023-07-01,3.4
43,2023-08-01,3.5
44,2023-09-01,3.2
45,2023-10-01,4.2
46,2023-11-01,4.5
47,2023-12-01,3.1
48,2024-01-01,2.9
49,2024-02-01,3
50,2024-03-01,2.9
51,2024-04-01,3.2
52,2024-05-01,3.3
53,2024-06-01,3
54,2024-07-01,2.9
55,2024-08-01,2.8
56,2024-09-01,2.7
57,2024-10-01,2.7
58,2024-11-01,2.6
59,2024-12-01,2.8
60,2025-01-01,3.3
61,2025-02-01,4.3
62,2025-03-01,5
63,2025-04-01,6.5
64,2025-05-01,6.6
