,date,value
0,Jun_2020,100.61
1,Jul_2020,98.801
2,Aug_2020,100.208
3,Sep_2020,103.96000000000001
4,Oct_2020,103.96000000000001
5,Nov_2020,101.34700000000001
6,Dec_2020,95.92
7,Jan_2021,95.049
8,Feb_2021,95.85300000000001
9,Mar_2021,98.19800000000001
10,Apr_2021,99.806
11,May_2021,99.605
12,Jun_2021,102.486
13,Jul_2021,99.672
14,Aug_2021,100.074
15,Sep_2021,99.069
16,Oct_2021,98.19800000000001
17,Nov_2021,98.399
18,Dec_2021,98.935
19,Jan_2022,97.126
20,Feb_2022,95.719
21,Mar_2022,93.24
22,Apr_2022,93.24
23,May_2022,93.173
24,Jun_2022,89.622
25,Jul_2022,90.024
26,Aug_2022,91.9
27,Sep_2022,92.168
28,Oct_2022,91.364
29,Nov_2022,91.967
30,Dec_2022,89.89
31,Jan_2023,90.426
32,Feb_2023,91.029
33,Mar_2023,90.225
34,Apr_2023,89.086
35,May_2023,89.488
36,Jun_2023,91.096
37,Jul_2023,91.967
38,Aug_2023,91.364
39,Sep_2023,90.895
40,Oct_2023,90.828
41,Nov_2023,90.694
42,Dec_2023,91.967
43,Jan_2024,90.024
44,Feb_2024,89.488
45,Mar_2024,88.617
46,Apr_2024,89.82300000000001
47,May_2024,90.627
48,Jun_2024,91.565
49,Jul_2024,93.776
50,Aug_2024,91.297
51,Sep_2024,91.565
52,Oct_2024,93.776
53,Nov_2024,101.682
54,Dec_2024,105.032
55,Jan_2025,102.754
56,Feb_2025,100.677
57,Mar_2025,97.394
58,Apr_2025,95.85300000000001
59,May_2025,98.801
60,Jun_2025,98.6
