,date,value
0,2020-01-01,
1,2020-01-02,1.61
2,2020-01-03,1.60
3,2020-01-06,1.60
4,2020-01-07,1.62
5,2020-01-08,1.61
6,2020-01-09,1.61
7,2020-01-10,1.59
8,2020-01-13,1.58
9,2020-01-14,1.54
10,2020-01-15,1.57
11,2020-01-16,1.58
12,2020-01-17,1.69
13,2020-01-20,1.69
14,2020-01-21,1.57
15,2020-01-22,1.56
16,2020-01-23,1.56
17,2020-01-24,1.55
18,2020-01-27,1.57
19,2020-01-28,1.57
20,2020-01-29,1.56
21,2020-01-30,1.55
22,2020-01-31,1.59
23,2020-02-03,1.53
24,2020-02-04,1.56
25,2020-02-05,1.54
26,2020-02-06,1.55
27,2020-02-07,1.52
28,2020-02-10,1.56
29,2020-02-11,1.53
30,2020-02-12,1.57
31,2020-02-13,1.56
32,2020-02-14,1.58
33,2020-02-17,1.58
34,2020-02-18,1.57
35,2020-02-19,1.60
36,2020-02-20,1.58
37,2020-02-21,1.58
38,2020-02-24,1.58
39,2020-02-25,1.56
40,2020-02-26,1.57
41,2020-02-27,1.56
42,2020-02-28,1.47
43,2020-03-02,1.27
44,2020-03-03,1.25
45,2020-03-04,1.25
46,2020-03-05,0.96
47,2020-03-06,1.00
48,2020-03-09,0.88
49,2020-03-10,0.86
50,2020-03-11,0.91
51,2020-03-12,1.17
52,2020-03-13,1.11
53,2020-03-16,1.34
54,2020-03-17,1.65
55,2020-03-18,1.60
56,2020-03-19,1.80
57,2020-03-20,1.98
58,2020-03-23,1.83
59,2020-03-24,1.41
60,2020-03-25,1.82
61,2020-03-26,2.18
62,2020-03-27,1.59
63,2020-03-30,2.08
64,2020-03-31,1.51
65,2020-04-01,2.05
66,2020-04-02,1.51
67,2020-04-03,2.04
68,2020-04-06,0.55
69,2020-04-07,0.82
70,2020-04-08,1.26
71,2020-04-09,1.24
72,2020-04-10,1.24
73,2020-04-13,0.80
74,2020-04-14,0.68
75,2020-04-15,1.20
76,2020-04-16,0.75
77,2020-04-17,1.12
78,2020-04-20,1.12
79,2020-04-21,0.85
80,2020-04-22,0.94
81,2020-04-23,1.00
82,2020-04-24,0.83
83,2020-04-27,0.25
84,2020-04-28,0.22
85,2020-04-29,0.66
86,2020-04-30,0.78
87,2020-05-01,0.21
88,2020-05-04,0.18
89,2020-05-05,0.19
90,2020-05-06,0.19
91,2020-05-07,0.72
92,2020-05-08,0.47
93,2020-05-11,0.17
94,2020-05-12,0.39
95,2020-05-13,0.22
