,year,period,value
0,2025,M07,4684
1,2025,M06,4465
2,2025,M05,4624
3,2025,M04,4690
4,2025,M03,4780
5,2025,M02,4937
6,2025,M01,4477
7,2024,M12,4358
8,2024,M11,4469
9,2024,M10,4565
10,2024,M09,4624
11,2024,M08,4822
12,2024,M07,4564
13,2024,M06,4225
14,2024,M05,4415
15,2024,M04,4463
16,2024,M03,4305
17,2024,M02,4370
18,2024,M01,4418
19,2023,M12,4220
20,2023,M11,4015
21,2023,M10,4291
22,2023,M09,4070
23,2023,M08,4209
24,2023,M07,4004
25,2023,M06,4207
26,2023,M05,3733
27,2023,M04,3888
28,2023,M03,4089
29,2023,M02,4063
30,2023,M01,4041
31,2022,M12,3887
32,2022,M11,3724
33,2022,M10,3675
34,2022,M09,3850
35,2022,M08,4125
36,2022,M07,3930
37,2022,M06,3642
38,2022,M05,4314
39,2022,M04,4018
40,2022,M03,4149
41,2022,M02,4126
42,2022,M01,3720
43,2021,M12,3945
44,2021,M11,4307
45,2021,M10,4413
46,2021,M09,4457
47,2021,M08,4450
48,2021,M07,4451
49,2021,M06,4640
50,2021,M05,5244
51,2021,M04,5227
52,2021,M03,5796
53,2021,M02,6087
54,2021,M01,5947
55,2020,M12,6142
56,2020,M11,6635
57,2020,M10,6657
58,2020,M09,6283
59,2020,M08,7553
60,2020,M07,8418
61,2020,M06,9109
62,2020,M05,10627
63,2020,M04,10880
64,2020,M03,5763
65,2020,M02,4378
66,2020,M01,4275
