,year,period,MoM_growth
0,2025,M06,5.39679969776664e-05
1,2025,M05,0.0029751463960925226
2,2025,M04,-0.002571268108832275
3,2025,M03,-0.0010528660227986388
4,2025,M02,0.001287730156482828
5,2025,M01,0.006791240245186726
6,2024,M12,0.004995717956037774
7,2024,M11,0.0010178221338743565
8,2024,M10,0.003077091396452378
9,2024,M09,0.002963125548726871
10,2024,M08,0.0033778205833792916
11,2024,M07,0.0002761115214434561
12,2024,M06,0.00396329464402856
13,2024,M05,0.0003258119302623621
14,2024,M04,0.004819427493620279
15,2024,M03,0.00056440879920298
16,2024,M02,0.005012828378604455
17,2024,M01,0.0035525845578188745
18,2023,M12,-0.0003797308130458775
19,2023,M11,0.0004077042035708754
20,2023,M10,-0.0037622536954472975
21,2023,M09,0.002592180023399711
22,2023,M08,0.006490268109884863
23,2023,M07,0.005443889057783066
24,2023,M06,4.265210808044349e-05
25,2023,M05,-0.0021540233316982467
26,2023,M04,0.001610271689011874
27,2023,M03,-0.0031546862010900494
28,2023,M02,-0.0008428538038204634
29,2023,M01,0.004239027359064852
30,2022,M12,-0.002615363841173467
31,2022,M11,0.003033847244373541
32,2022,M10,0.0030928494742156055
33,2022,M09,0.003373463041679634
34,2022,M08,-0.0006011206606602536
35,2022,M07,-0.003096772347896932
36,2022,M06,0.008641341546885617
37,2022,M05,0.009004343948678184
38,2022,M04,0.005450243845796597
39,2022,M03,0.016425741201538262
40,2022,M02,0.008984346019734286
41,2022,M01,0.009934196243421482
42,2021,M12,0.0064120013307928285
43,2021,M11,0.010403031871175842
44,2021,M10,0.006175165529810725
45,2021,M09,0.00497547085132396
46,2021,M08,0.008608689566143924
47,2021,M07,0.010071852153995732
48,2021,M06,0.007131537242472311
49,2021,M05,0.009577015163607365
50,2021,M04,0.010475423045930679
51,2021,M03,0.006514657980456003
52,2021,M02,0.0065573770491803044
53,2021,M01,0.009900990099009924
54,2020,M12,0.004166666666666667
55,2020,M11,0.0008368200836819608
56,2020,M10,0.005025125628140775
57,2020,M09,0.0033670033670032953
58,2020,M08,0.0016891891891892131
59,2020,M07,0.0059221658206430015
60,2020,M06,0.002553191489361678
61,2020,M05,0.0051194539249147485
62,2020,M04,-0.012006861063464887
63,2020,M03,-0.005084745762711816
64,2020,M02,-0.005059021922428402
65,2020,M01,
