,year,period,MoM_growth
0,2025,M06,0.0018624728529454317
1,2025,M05,0.002290333445604412
2,2025,M04,-0.002126797650394961
3,2025,M03,0.0017247768233114383
4,2025,M02,0.0038132132902293846
5,2025,M01,0.009586461071515815
6,2024,M12,0.001333889690742759
7,2024,M11,-0.002034330177952498
8,2024,M10,0.004238128114511518
9,2024,M09,0.0005629123161095457
10,2024,M08,0.002232311507050592
11,2024,M07,-0.00039238902962873077
12,2024,M06,0.005622036732475054
13,2024,M05,-0.0004082931960360786
14,2024,M04,0.0053886540816114525
15,2024,M03,0.0036443554220219284
16,2024,M02,0.007496858858020271
17,2024,M01,0.006463364888245053
18,2023,M12,-0.004261434022100023
19,2023,M11,-0.0027419661800675977
20,2023,M10,-0.002530613392568328
21,2023,M09,-0.00016126996592292792
22,2023,M08,0.005398167427317404
23,2023,M07,0.004863573246117936
24,2023,M06,0.0019053555365099088
25,2023,M05,-0.002774781423867315
26,2023,M04,0.002179713098801814
27,2023,M03,0.0002766055533885293
28,2023,M02,0.001723942223105047
29,2023,M01,0.006630517436199873
30,2022,M12,-0.007189869795392727
31,2022,M11,0.00031963632489247787
32,2022,M10,0.004788972573539907
33,2022,M09,0.0007210886296460176
34,2022,M08,-0.0022791412138748143
35,2022,M07,-0.003813692224344876
36,2022,M06,0.00994184023462727
37,2022,M05,0.008894053177830919
38,2022,M04,0.006064597370077898
39,2022,M03,0.020095965516488297
40,2022,M02,0.011197717359805445
41,2022,M01,0.013000285555405399
42,2021,M12,0.0019338530880739942
43,2021,M11,0.007574948508658135
44,2021,M10,0.007540527452593023
45,2021,M09,0.002795935437900945
46,2021,M08,0.007230787153896916
47,2021,M07,0.009575666541494585
48,2021,M06,0.008688783570300113
49,2021,M05,0.00956175298804783
50,2021,M04,0.010458567980691853
51,2021,M03,0.008943089430894263
52,2021,M02,0.008203445447087777
53,2021,M01,0.012406947890818858
54,2020,M12,0.0008375209380235219
55,2020,M11,-0.0016764459346186324
56,2020,M10,0.006694560669456043
57,2020,M09,0.0016849199663016247
58,2020,M08,0.0008438818565400364
59,2020,M07,0.005912162162162186
60,2020,M06,0.0033984706881903626
61,2020,M05,0.005115089514066448
62,2020,M04,-0.011996572407883389
63,2020,M03,-0.0025402201524133057
64,2020,M02,-0.005067567567567519
65,2020,M01,
