,date,value
0,2020-01-01,9508
1,2020-02-01,9534
2,2020-03-01,9433
3,2020-04-01,8245
4,2020-05-01,8658
5,2020-06-01,9075
6,2020-07-01,9148
7,2020-08-01,9502
8,2020-09-01,9472
9,2020-10-01,9576
10,2020-11-01,9463
11,2020-12-01,9439
12,2021-01-01,9577
13,2021-02-01,9488
14,2021-03-01,9829
15,2021-04-01,9681
16,2021-05-01,9996
17,2021-06-01,9883
18,2021-07-01,10315
19,2021-08-01,10241
20,2021-09-01,10158
21,2021-10-01,10217
22,2021-11-01,10032
23,2021-12-01,10029
24,2022-01-01,9859
25,2022-02-01,9917
26,2022-03-01,9957
27,2022-04-01,9876
28,2022-05-01,10083
29,2022-06-01,10034
30,2022-07-01,9766
31,2022-08-01,9651
32,2022-09-01,9862
33,2022-10-01,9982
34,2022-11-01,9707
35,2022-12-01,9792
36,2023-01-01,9932
37,2023-02-01,10066
38,2023-03-01,9773
39,2023-04-01,9794
40,2023-05-01,9394
41,2023-06-01,9632
42,2023-07-01,9530
43,2023-08-01,9505
44,2023-09-01,9742
45,2023-10-01,9666
46,2023-11-01,9732
47,2023-12-01,10001
48,2024-01-01,9786
49,2024-02-01,10016
50,2024-03-01,10156
51,2024-04-01,9943
52,2024-05-01,10051
53,2024-06-01,9688
54,2024-07-01,9837
55,2024-08-01,10090
56,2024-09-01,9845
57,2024-10-01,9839
58,2024-11-01,9823
59,2024-12-01,9964
60,2025-01-01,9827
61,2025-02-01,9700
62,2025-03-01,9794
63,2025-04-01,9947
64,2025-05-01,10013
65,2025-06-01,9675
