,date,value
0,2020-01-01,106.88595
1,2020-04-01,132.8149
2,2020-07-01,124.26077
3,2020-10-01,125.73334
4,2021-01-01,124.16837
5,2021-04-01,122.08313
6,2021-07-01,118.8401
7,2021-10-01,119.53493
8,2022-01-01,120.56462
9,2022-04-01,118.45629
10,2022-07-01,117.72571
11,2022-10-01,117.52586
12,2023-01-01,115.80777
13,2023-04-01,117.76969
14,2023-07-01,118.59158
15,2023-10-01,120.1595
16,2024-01-01,120.83025
17,2024-04-01,120.0399
18,2024-07-01,120.73116
19,2024-10-01,121.85026
20,2025-01-01,120.86728
