,date,value
0,2020-01-01,23223813.0
1,2020-04-01,26477241.0
2,2020-07-01,26945391.0
3,2020-10-01,27747798.0
4,2021-01-01,28132570.0
5,2021-04-01,28529436.0
6,2021-07-01,28428919.0
7,2021-10-01,29617215.0
8,2022-01-01,30400960.0
9,2022-04-01,30568582.0
10,2022-07-01,30928912.0
11,2022-10-01,31419689.0
12,2023-01-01,31458438.0
13,2023-04-01,32332274.0
14,2023-07-01,33167334.0
15,2023-10-01,34001494.0
16,2024-01-01,34586533.0
17,2024-04-01,34831634.0
18,2024-07-01,35464674.0
19,2024-10-01,36218605.0
20,2025-01-01,36214310.0
