,date,value
0,2020-01-01,3.6
1,2020-02-01,3.5
2,2020-03-01,4.4
3,2020-04-01,14.8
4,2020-05-01,13.2
5,2020-06-01,11.0
6,2020-07-01,10.2
7,2020-08-01,8.4
8,2020-09-01,7.8
9,2020-10-01,6.9
10,2020-11-01,6.7
11,2020-12-01,6.7
12,2021-01-01,6.4
13,2021-02-01,6.2
14,2021-03-01,6.1
15,2021-04-01,6.1
16,2021-05-01,5.8
17,2021-06-01,5.9
18,2021-07-01,5.4
19,2021-08-01,5.1
20,2021-09-01,4.7
21,2021-10-01,4.5
22,2021-11-01,4.2
23,2021-12-01,3.9
24,2022-01-01,4.0
25,2022-02-01,3.8
26,2022-03-01,3.7
27,2022-04-01,3.7
28,2022-05-01,3.6
29,2022-06-01,3.6
30,2022-07-01,3.5
31,2022-08-01,3.6
32,2022-09-01,3.5
33,2022-10-01,3.6
34,2022-11-01,3.6
35,2022-12-01,3.5
36,2023-01-01,3.5
37,2023-02-01,3.6
38,2023-03-01,3.5
39,2023-04-01,3.4
40,2023-05-01,3.6
41,2023-06-01,3.6
42,2023-07-01,3.5
43,2023-08-01,3.7
44,2023-09-01,3.8
45,2023-10-01,3.9
46,2023-11-01,3.7
47,2023-12-01,3.8
48,2024-01-01,3.7
49,2024-02-01,3.9
50,2024-03-01,3.9
51,2024-04-01,3.9
52,2024-05-01,4.0
53,2024-06-01,4.1
54,2024-07-01,4.2
55,2024-08-01,4.2
56,2024-09-01,4.1
57,2024-10-01,4.1
58,2024-11-01,4.2
59,2024-12-01,4.1
60,2025-01-01,4.0
61,2025-02-01,4.1
62,2025-03-01,4.2
63,2025-04-01,4.2
64,2025-05-01,4.2
65,2025-06-01,4.1
