,date,value
0,2020-01-04,1.73
1,2020-01-11,1.29
2,2020-01-18,1.57
3,2020-01-25,1.64
4,2020-02-01,1.99
5,2020-02-08,1.91
6,2020-02-15,1.64
7,2020-02-22,1.57
8,2020-02-29,1.57
9,2020-03-07,1.33
10,2020-03-14,1.24
11,2020-03-21,-0.91
12,2020-03-28,-3.64
13,2020-04-04,-5.53
14,2020-04-11,-7.53
15,2020-04-18,-7.96
16,2020-04-25,-8.09
17,2020-05-02,-8.12
18,2020-05-09,-7.3
19,2020-05-16,-7.32
20,2020-05-23,-6.88
21,2020-05-30,-6.66
22,2020-06-06,-6.31
23,2020-06-13,-5.61
24,2020-06-20,-5.05
25,2020-06-27,-4.86
26,2020-07-04,-4.36
27,2020-07-11,-4.17
28,2020-07-18,-4.83
29,2020-07-25,-4.24
30,2020-08-01,-3.98
31,2020-08-08,-3.56
32,2020-08-15,-3.53
33,2020-08-22,-2.82
34,2020-08-29,-2.2
35,2020-09-05,-2.28
36,2020-09-12,-3.39
37,2020-09-19,-2.42
38,2020-09-26,-2.46
39,2020-10-03,-2.11
40,2020-10-10,-1.74
41,2020-10-17,-1.83
42,2020-10-24,-1.36
43,2020-10-31,-1.15
44,2020-11-07,-1.08
45,2020-11-14,-1.16
46,2020-11-21,-1.09
47,2020-11-28,-0.43
48,2020-12-05,-0.73
49,2020-12-12,-0.9
50,2020-12-19,-0.29
51,2020-12-26,0.94
52,2021-01-02,-0.27
53,2021-01-09,0.33
54,2021-01-16,0.34
55,2021-01-23,0.42
56,2021-01-30,-0.01
57,2021-02-06,0.0
58,2021-02-13,0.55
59,2021-02-20,-0.9
60,2021-02-27,0.15
61,2021-03-06,1.04
62,2021-03-13,1.22
63,2021-03-20,3.84
64,2021-03-27,6.59
65,2021-04-03,8.25
66,2021-04-10,10.26
67,2021-04-17,10.21
68,2021-04-24,10.54
69,2021-05-01,10.56
70,2021-05-08,9.83
71,2021-05-15,9.85
72,2021-05-22,9.75
73,2021-05-29,9.84
74,2021-06-05,8.2
75,2021-06-12,9.0
76,2021-06-19,8.67
77,2021-06-26,8.24
78,2021-07-03,8.6
79,2021-07-10,6.77
80,2021-07-17,7.39
81,2021-07-24,7.3
82,2021-07-31,7.26
83,2021-08-07,6.66
84,2021-08-14,7.06
85,2021-08-21,6.41
86,2021-08-28,7.06
87,2021-09-04,6.74
88,2021-09-11,6.76
89,2021-09-18,6.62
90,2021-09-25,6.63
91,2021-10-02,6.65
92,2021-10-09,6.08
93,2021-10-16,6.52
94,2021-10-23,5.54
95,2021-10-30,5.9
96,2021-11-06,5.44
97,2021-11-13,5.41
98,2021-11-20,5.82
99,2021-11-27,6.4
100,2021-12-04,5.67
101,2021-12-11,6.18
102,2021-12-18,5.43
103,2021-12-25,6.32
104,2022-01-01,5.5
105,2022-01-08,4.56
106,2022-01-15,4.89
107,2022-01-22,5.01
108,2022-01-29,5.39
109,2022-02-05,5.19
110,2022-02-12,5.08
111,2022-02-19,6.21
112,2022-02-26,5.17
113,2022-03-05,4.74
114,2022-03-12,4.69
115,2022-03-19,4.88
116,2022-03-26,4.4
117,2022-04-02,4.68
118,2022-04-09,4.41
119,2022-04-16,4.42
120,2022-04-23,4.34
121,2022-04-30,4.43
122,2022-05-07,4.33
123,2022-05-14,4.24
124,2022-05-21,3.65
125,2022-05-28,3.59
126,2022-06-04,3.93
127,2022-06-11,2.89
128,2022-06-18,3.36
